country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Jordan ,0.034,0.047,0.043,0.042,0.053,0.070,0.039,0.038,0.019,0.019,0.003,-0.013,-0.011,-0.010,-0.017,-0.021,-0.001,0.004,0.034,0.035,0.065,0.066,0.070,0.067,0.066,0.063,0.049,0.045,0.025,0.005,-0.017,-0.026,-0.022,-0.019,-0.021,-0.017,-0.022,-0.021,-0.016,0.000,0.010
Kuwait ,0.000,-0.013,-0.013,-0.021,-0.027,-0.031,-0.031,-0.033,-0.029,-0.034,0.006,0.017,0.014,0.005,-0.014,-0.026,-0.028,-0.031,-0.029,-0.017,-0.080,-0.104,-0.117,-0.103,-0.085,-0.077,-0.073,-0.072,-0.073,-0.077,-0.074,-0.023,-0.005,0.015,0.017,0.023,0.015,0.023,0.024,0.016,0.045
Lebanon ,-0.002,0.016,0.013,0.000,-0.008,-0.006,0.002,-0.005,0.022,0.016,0.020,0.019,0.024,0.025,0.033,0.025,0.023,0.034,0.027,0.022,0.019,0.011,-0.001,-0.002,-0.010,-0.006,-0.013,-0.050,-0.061,-0.056,-0.058,-0.024,-0.014,-0.007,-0.002,0.000,0.007,0.046,0.058,0.056,0.058
Oman,0.041,0.036,0.048,0.046,0.039,0.032,0.031,0.077,0.136,0.154,0.151,0.149,0.138,0.115,0.127,0.150,0.156,0.096,0.028,0.007,0.007,0.020,0.020,0.050,0.054,0.044,0.034,0.043,0.050,0.052,0.048,0.039,0.037,0.028,0.017,0.010,0.012,0.011,0.012,0.008,0.014
Qatar,0.008,0.000,-0.004,-0.009,-0.020,-0.019,0.000,0.011,0.015,0.007,-0.001,0.021,0.030,0.043,0.032,0.029,0.009,-0.019,-0.021,-0.020,-0.012,-0.046,-0.074,-0.103,-0.099,-0.113,-0.135,-0.120,-0.124,-0.124,-0.128,-0.115,-0.088,-0.071,-0.060,-0.040,-0.011,0.010,0.016,0.019,0.028
Saudi Arabia ,0.052,0.055,0.061,0.059,0.056,0.065,0.071,0.076,0.079,0.076,0.074,0.076,0.079,0.089,0.094,0.080,0.071,0.073,0.066,0.060,0.057,0.047,0.031,-0.002,-0.018,-0.026,-0.039,-0.047,-0.046,-0.046,-0.038,-0.032,-0.028,-0.015,-0.012,-0.002,0.010,0.009,0.011,0.008,-0.001
Syria ,0.023,0.034,0.031,0.018,0.005,0.015,-0.011,-0.010,0.008,0.022,0.016,0.017,0.018,0.009,0.029,0.047,0.067,0.057,0.061,0.047,0.063,0.062,0.041,0.051,0.025,0.012,-0.003,0.000,0.004,-0.009,-0.013,-0.012,-0.001,0.006,0.016,0.016,0.025,0.023,0.017,0.024,0.019
Turkey,0.033,0.022,0.017,0.015,0.023,0.018,0.027,0.024,0.028,0.029,0.032,0.040,0.040,0.035,0.039,0.045,0.042,0.042,0.038,0.032,0.027,0.022,0.021,0.020,0.018,0.014,0.013,0.017,0.018,0.020,0.030,0.027,0.029,0.034,0.023,0.026,0.026,0.025,0.025,0.021,0.019
UAE,0.036,0.033,0.035,0.031,0.026,0.029,0.027,0.028,0.026,0.018,0.009,0.007,0.002,-0.001,0.010,-0.003,-0.003,-0.001,-0.016,-0.003,0.012,0.007,-0.008,-0.019,-0.034,-0.031,-0.060,-0.065,-0.056,-0.061,-0.066,-0.066,-0.055,-0.050,-0.047,-0.039,-0.010,-0.005,-0.004,-0.009,-0.009
Yemen ,0.006,0.006,0.005,0.006,0.006,0.006,0.006,0.007,0.007,0.008,0.025,0.038,0.044,0.052,0.055,0.060,0.071,0.078,0.083,0.085,0.064,0.053,0.046,0.039,0.036,0.027,0.014,0.008,0.003,0.000,-0.001,-0.002,0.004,0.001,0.003,0.009,0.012,0.013,0.015,0.015,0.022
Algeria ,0.043,0.029,0.004,0.026,0.023,0.026,0.011,0.007,0.014,0.005,0.007,0.011,0.051,0.029,0.030,0.030,0.042,0.042,0.043,0.042,0.034,0.046,0.032,0.034,0.033,0.031,0.024,0.015,0.001,-0.004,-0.007,-0.010,-0.014,-0.020,-0.025,-0.025,-0.020,-0.017,-0.009,-0.008,-0.003
Angola,0.018,0.026,0.019,0.021,0.034,0.033,0.041,0.037,0.030,0.033,0.035,0.022,0.025,0.026,0.013,-0.039,-0.054,-0.059,-0.054,-0.055,-0.059,-0.061,-0.066,-0.076,-0.074,-0.031,-0.031,-0.021,-0.012,-0.012,-0.010,-0.008,-0.010,-0.033,-0.033,-0.021,0.006,-0.001,-0.015,-0.015,-0.016
Benin ,-0.010,-0.007,-0.011,-0.004,-0.001,0.004,0.007,0.008,0.007,0.006,0.005,0.002,0.014,0.011,-0.004,-0.005,-0.005,-0.001,-0.002,0.003,0.009,0.014,0.015,0.008,0.024,0.026,0.024,0.017,0.016,0.006,0.001,0.000,-0.007,0.000,-0.005,-0.008,-0.004,0.003,0.004,0.011,0.012
Botswana,0.015,0.015,0.015,0.014,0.015,0.015,0.021,0.028,0.036,0.042,0.049,0.062,0.087,0.103,0.117,0.108,0.113,0.102,0.107,0.104,0.105,0.095,0.072,0.067,0.059,0.069,0.060,0.068,0.067,0.071,0.065,0.061,0.057,0.044,0.037,0.035,0.034,0.032,0.023,0.018,0.021
Burkina Faso,0.025,0.026,0.029,0.024,0.023,0.024,0.021,0.026,0.025,0.023,0.020,0.020,0.017,0.012,0.007,-0.002,-0.004,-0.007,0.000,-0.002,-0.002,-0.003,-0.006,-0.003,0.000,0.015,0.030,0.021,0.017,0.014,0.010,0.014,0.011,0.015,0.013,0.006,0.001,0.009,0.008,0.015,0.019
Burundi,0.021,0.000,0.005,0.005,0.004,0.004,0.004,0.008,0.004,-0.003,0.020,0.044,0.027,0.031,0.026,0.023,0.027,0.030,0.030,0.030,0.011,0.012,0.019,0.013,0.013,0.023,0.019,0.011,0.016,0.018,0.016,0.012,0.012,0.008,0.006,-0.017,-0.028,-0.029,-0.028,-0.031,-0.035
Cameroon ,0.022,0.019,0.018,0.018,0.017,0.015,0.015,0.014,0.016,0.017,0.017,0.018,0.019,0.016,0.016,0.019,0.015,0.017,0.015,0.014,0.020,0.032,0.034,0.039,0.041,0.044,0.049,0.038,0.027,0.013,0.002,-0.017,-0.028,-0.037,-0.046,-0.051,-0.052,-0.042,-0.032,-0.018,-0.012
Cape Verde ,0.012,0.014,0.016,0.017,0.021,0.022,0.022,0.028,0.030,0.023,0.020,0.008,-0.001,-0.004,-0.010,-0.009,-0.012,-0.014,-0.006,0.002,0.031,0.048,0.055,0.065,0.070,0.075,0.077,0.083,0.075,0.069,0.039,0.027,0.022,0.018,0.021,0.020,0.024,0.025,0.030,0.034,0.037
Centr. Afr. Rep.,0.018,0.018,0.011,0.006,0.004,0.000,-0.004,-0.005,-0.008,-0.007,-0.004,-0.011,-0.011,-0.006,-0.011,-0.010,-0.006,-0.002,-0.002,-0.013,-0.019,-0.015,-0.011,-0.022,-0.014,-0.015,-0.017,-0.027,-0.027,-0.018,-0.014,-0.016,-0.024,-0.018,-0.019,-0.014,-0.023,-0.013,-0.011,-0.010,-0.011
Chad ,0.018,0.015,0.017,0.011,0.004,0.001,-0.005,-0.009,-0.014,-0.011,-0.010,-0.010,-0.022,-0.026,-0.011,0.004,0.004,-0.004,-0.004,-0.034,-0.040,-0.039,-0.029,-0.013,-0.023,-0.017,-0.021,-0.017,-0.003,0.027,0.025,0.030,0.028,0.015,0.017,-0.006,0.000,0.007,0.000,-0.003,0.003
Comoro Islands,0.024,0.019,0.025,0.040,0.042,0.039,0.045,0.045,0.041,0.037,0.035,0.051,0.033,0.000,0.012,-0.013,-0.035,-0.046,-0.043,-0.043,-0.044,-0.054,-0.042,-0.026,-0.042,-0.015,0.000,0.012,0.013,0.011,0.006,-0.005,-0.002,-0.003,-0.012,-0.007,-0.011,-0.011,-0.015,-0.014,-0.016
Congo 'Brazzaville',0.017,0.016,0.015,0.014,0.013,0.013,0.014,0.015,0.016,0.017,0.018,0.022,0.027,0.031,0.035,0.040,0.034,0.020,0.013,0.021,0.032,0.043,0.043,0.039,0.037,0.024,0.016,0.026,0.027,0.016,0.002,-0.014,-0.019,-0.025,-0.037,-0.029,-0.018,-0.019,-0.015,-0.021,-0.017
Côte d'Ivoire,0.019,0.023,0.022,0.032,0.043,0.034,0.036,0.031,0.039,0.037,0.037,0.031,0.031,0.023,0.009,0.011,0.015,0.019,0.015,0.014,0.012,0.012,0.008,-0.003,-0.008,-0.003,-0.010,-0.016,-0.027,-0.029,-0.044,-0.047,-0.047,-0.031,-0.028,-0.027,-0.021,-0.013,-0.006,-0.002,0.002
Djibouti,0.017,0.014,0.012,0.012,0.008,0.007,0.006,0.005,0.005,0.002,0.016,0.018,0.020,0.021,0.017,0.016,0.020,0.002,-0.001,-0.003,-0.022,-0.024,-0.025,-0.028,-0.014,-0.016,-0.022,-0.007,-0.008,-0.012,-0.014,-0.016,-0.019,-0.023,-0.035,-0.038,-0.042,-0.041,-0.037,-0.030,-0.027
Egypt ,0.009,0.013,0.018,0.023,0.028,0.032,0.028,0.022,0.019,0.022,0.024,0.022,0.018,0.015,0.012,0.016,0.030,0.044,0.049,0.049,0.051,0.049,0.056,0.060,0.061,0.057,0.044,0.034,0.031,0.027,0.020,0.020,0.012,0.009,0.009,0.009,0.013,0.016,0.019,0.023,0.026
Equatorial Guinea ,0.033,0.037,0.045,0.055,0.065,0.076,0.076,0.079,0.080,0.071,0.058,0.039,0.014,0.006,-0.001,0.001,0.009,0.005,0.010,0.012,0.012,0.018,0.033,0.027,0.041,0.008,-0.002,0.001,-0.003,0.001,0.005,0.011,0.019,0.024,0.007,0.036,0.059,0.110,0.125,0.159,0.173
Eritrea & Ethiopia ,0.012,0.014,0.015,0.021,0.026,0.026,0.027,0.031,0.030,0.030,0.031,0.030,0.030,0.021,0.017,0.011,0.009,0.008,0.005,0.009,0.009,0.004,-0.001,0.000,-0.004,-0.010,-0.006,0.000,0.002,-0.004,-0.012,-0.021,-0.031,-0.023,-0.018,-0.007,-0.002,-0.008,-0.013,-0.009,-0.002
Gabon,0.030,0.038,0.036,0.036,0.033,0.030,0.030,0.030,0.028,0.031,0.034,0.032,0.038,0.042,0.070,0.068,0.094,0.064,0.026,0.019,0.014,0.003,-0.010,-0.018,-0.043,-0.047,-0.080,-0.071,-0.038,-0.036,-0.034,-0.027,-0.028,-0.027,-0.026,-0.019,-0.010,0.010,0.011,-0.013,-0.022
Gambia ,0.017,0.027,0.021,0.017,0.018,0.025,0.036,0.035,0.033,0.037,0.020,0.015,0.023,0.027,0.039,0.022,0.017,0.019,0.012,0.017,0.017,0.005,0.010,-0.007,-0.028,-0.030,-0.036,-0.036,-0.022,-0.030,-0.017,-0.014,-0.023,-0.005,0.001,0.006,0.007,0.007,0.000,0.000,0.002
Ghana,0.021,0.020,0.027,0.017,0.007,0.015,0.009,0.008,0.011,0.000,0.003,0.007,-0.001,-0.002,0.003,-0.011,-0.014,-0.012,-0.005,-0.009,-0.021,-0.026,-0.029,-0.040,-0.041,-0.024,-0.017,-0.016,-0.020,-0.013,-0.009,-0.005,0.007,0.020,0.018,0.018,0.020,0.022,0.022,0.023,0.024
Guinea ,0.026,0.026,0.030,0.021,0.021,0.024,0.022,0.021,0.021,0.018,0.017,0.014,0.008,0.018,0.018,0.016,0.023,0.022,0.022,0.019,0.018,0.016,0.016,0.012,0.006,0.001,-0.008,-0.007,-0.004,-0.001,-0.003,-0.006,-0.006,-0.004,-0.001,0.003,0.006,0.009,0.009,0.008,0.009
Guinea Bissau ,0.056,0.057,0.057,0.055,0.046,0.058,0.052,0.052,0.053,0.057,0.057,0.046,0.046,0.042,0.036,0.030,0.022,0.007,0.014,0.010,-0.014,0.004,0.002,-0.008,-0.010,-0.008,-0.009,-0.004,-0.013,-0.015,0.006,-0.006,-0.012,-0.002,-0.003,-0.005,0.001,0.008,-0.029,-0.022,-0.016
Kenya,0.011,-0.012,0.005,0.012,0.010,0.003,0.010,0.011,0.017,0.020,0.023,0.032,0.031,0.031,0.026,0.024,0.015,0.018,0.019,0.016,0.014,0.009,0.010,0.005,0.002,0.007,0.010,0.007,0.005,0.007,0.006,0.006,-0.001,-0.001,0.001,0.002,0.000,-0.004,-0.006,-0.007,-0.010
Lesotho,0.026,0.021,0.033,0.038,0.041,0.039,0.034,0.040,0.035,0.034,0.028,0.016,0.019,0.032,0.030,0.019,0.035,0.041,0.056,0.047,0.052,0.063,0.048,0.015,0.017,0.029,0.015,0.004,0.001,0.019,0.016,0.019,0.021,0.034,0.026,0.035,0.043,0.043,0.029,0.022,0.022
Liberia,0.015,0.012,0.010,0.008,0.007,0.005,0.019,0.014,0.016,0.017,0.020,0.022,0.024,0.019,0.020,0.002,-0.011,-0.011,-0.011,-0.014,-0.025,-0.027,-0.033,-0.031,-0.039,-0.025,-0.026,-0.023,-0.027,-0.031,-0.009,0.008,0.011,0.013,0.020,0.027,0.026,0.019,0.012,0.009,-0.007
Libya ,0.079,0.077,0.099,0.130,0.169,0.170,0.166,0.173,0.195,0.199,0.174,0.156,0.109,0.076,0.021,0.003,0.007,0.006,-0.018,-0.018,-0.022,-0.037,-0.028,-0.029,-0.020,-0.033,-0.058,-0.069,-0.072,-0.082,-0.082,-0.067,-0.066,-0.068,-0.060,-0.052,-0.040,-0.031,-0.035,-0.034,-0.028
Madagascar,0.017,0.015,0.013,0.008,0.008,0.003,0.001,0.003,0.005,0.005,0.009,0.010,0.006,0.004,0.002,0.003,-0.002,-0.006,-0.015,-0.010,-0.015,-0.028,-0.029,-0.026,-0.033,-0.032,-0.029,-0.029,-0.025,-0.031,-0.028,-0.026,-0.023,-0.022,-0.019,-0.019,-0.018,-0.017,-0.014,-0.014,-0.013
Malawi,0.020,0.020,0.015,0.008,0.001,0.012,0.013,0.017,0.012,0.014,0.013,0.021,0.031,0.041,0.050,0.040,0.033,0.029,0.038,0.036,0.035,0.015,0.006,0.002,0.000,0.003,-0.001,-0.006,-0.015,-0.017,-0.015,-0.003,-0.012,-0.005,-0.016,-0.007,0.003,0.010,0.012,0.014,0.012
Mali,0.016,0.013,0.010,0.012,0.013,0.011,0.011,0.011,0.011,0.006,0.009,0.012,0.016,0.007,-0.001,0.011,0.019,0.024,0.018,0.041,0.023,0.016,0.006,0.013,0.021,0.010,0.004,-0.001,0.001,-0.011,0.002,0.014,0.015,0.014,0.013,0.013,0.014,0.016,0.020,0.015,0.010
Mauritania ,0.030,0.042,0.036,0.025,0.048,0.058,0.054,0.053,0.058,0.052,0.054,0.038,0.042,0.041,0.024,0.004,0.010,0.005,-0.004,0.002,-0.005,-0.002,-0.006,0.004,-0.013,-0.004,-0.007,-0.003,0.000,-0.001,-0.006,-0.008,-0.005,-0.006,0.005,0.007,0.007,0.008,0.008,0.008,0.014
Mauritius ,0.011,0.027,0.025,0.037,0.024,0.025,0.018,0.020,0.011,0.011,0.006,-0.008,0.002,0.001,0.020,0.019,0.039,0.041,0.053,0.051,0.040,0.041,0.037,0.025,0.020,0.027,0.022,0.026,0.030,0.032,0.051,0.053,0.052,0.058,0.058,0.054,0.049,0.044,0.043,0.044,0.039
Morocco ,-0.009,-0.008,-0.007,-0.007,-0.007,-0.006,-0.001,0.004,0.009,0.015,0.020,0.022,0.021,0.022,0.024,0.028,0.033,0.033,0.031,0.031,0.035,0.027,0.034,0.029,0.027,0.026,0.023,0.015,0.021,0.019,0.013,0.023,0.009,0.010,0.017,0.005,0.010,0.011,0.009,0.009,0.008
Mozambique,0.016,0.015,0.017,0.010,0.011,0.007,0.009,0.013,0.019,0.025,0.028,0.031,0.027,0.036,0.022,0.004,-0.005,-0.012,-0.022,-0.033,-0.035,-0.039,-0.044,-0.055,-0.049,-0.041,-0.033,-0.025,-0.015,-0.009,-0.009,-0.004,-0.006,0.007,0.010,0.017,0.027,0.029,0.030,0.031,0.030
Namibia ,0.019,0.017,0.027,0.033,0.043,0.046,0.046,0.038,0.036,0.033,0.024,0.025,0.017,0.010,-0.002,-0.008,-0.008,0.002,0.008,0.009,0.013,0.014,0.011,0.005,0.000,0.000,-0.001,-0.005,-0.011,-0.010,-0.018,-0.017,-0.010,-0.008,0.000,0.004,0.004,0.006,0.009,0.008,0.015
Niger,0.021,0.021,0.027,0.033,0.029,0.032,0.027,0.024,0.020,0.013,0.010,0.011,-0.004,-0.032,-0.024,-0.034,-0.033,-0.026,-0.015,-0.005,-0.003,-0.008,-0.004,0.013,-0.014,-0.010,-0.006,-0.017,-0.025,-0.032,-0.039,-0.038,-0.044,-0.041,-0.020,-0.029,-0.029,-0.026,-0.020,-0.020,-0.021
Nigeria,0.009,0.004,0.002,0.008,0.005,0.009,0.008,-0.013,-0.013,0.006,0.029,0.037,0.035,0.035,0.042,0.032,0.046,0.067,0.062,0.044,0.018,-0.002,-0.007,-0.021,-0.035,-0.023,-0.031,-0.035,-0.019,-0.019,-0.016,-0.008,-0.006,0.003,0.007,-0.001,0.002,0.006,-0.001,-0.007,-0.007
Rwanda,0.018,0.010,0.019,0.005,-0.014,-0.011,-0.008,-0.006,-0.002,0.002,0.009,0.012,-0.001,0.012,0.029,0.039,0.030,0.027,0.030,0.028,0.029,0.034,0.041,0.044,0.035,0.022,0.029,0.024,0.010,0.003,-0.008,-0.017,-0.018,-0.033,-0.074,-0.034,-0.042,-0.040,-0.030,-0.024,-0.017
Sao Tomé & Principe,0.006,0.013,0.020,0.026,0.027,0.043,0.043,0.049,0.043,0.059,0.052,0.047,0.036,0.025,0.020,0.020,0.020,0.023,0.022,0.027,0.034,-0.004,0.021,0.015,0.004,0.005,-0.002,-0.013,-0.017,-0.026,-0.036,-0.005,-0.028,-0.018,-0.008,-0.015,-0.015,-0.012,-0.013,-0.013,-0.013
Senegal ,0.014,0.014,0.013,0.013,0.011,0.010,0.008,0.003,0.005,-0.006,-0.001,-0.006,-0.004,-0.014,-0.012,-0.008,-0.001,-0.003,-0.014,-0.001,-0.012,-0.013,-0.005,0.003,-0.006,-0.011,-0.015,-0.009,0.000,-0.009,-0.001,0.003,-0.010,-0.010,-0.005,-0.003,-0.005,-0.005,-0.004,0.005,0.005
Seychelles,0.022,0.008,0.012,0.017,0.014,0.012,0.013,0.009,0.014,0.009,0.008,0.029,0.028,0.028,0.027,0.031,0.039,0.047,0.047,0.065,0.056,0.035,0.028,0.018,0.021,0.027,0.020,0.019,0.016,0.006,0.015,0.025,0.034,0.042,0.035,0.026,0.034,0.041,0.042,0.033,0.021
Sierra Leone,0.027,0.023,0.024,0.022,0.017,0.021,0.023,0.018,0.025,0.028,0.028,0.025,0.019,0.021,0.023,0.019,0.009,0.011,0.002,-0.002,-0.001,0.005,0.008,0.003,0.000,-0.006,-0.007,-0.004,-0.002,-0.006,-0.008,-0.023,-0.031,-0.026,-0.024,-0.031,-0.054,-0.078,-0.081,-0.089,-0.088
Somalia ,0.019,0.018,0.019,0.019,0.001,-0.009,0.000,0.002,0.001,-0.018,-0.011,-0.014,-0.009,-0.015,-0.026,0.010,-0.004,0.012,0.010,0.010,-0.009,-0.003,-0.006,-0.015,0.010,-0.013,-0.010,-0.028,-0.026,-0.008,0.004,-0.010,-0.024,-0.011,-0.011,-0.014,-0.013,-0.017,-0.020,-0.023,-0.024
Cape Colony/ South Africa ,0.018,0.018,0.020,0.022,0.022,0.023,0.022,0.025,0.027,0.028,0.029,0.030,0.026,0.023,0.022,0.018,0.017,0.010,0.009,0.007,0.008,0.008,0.005,-0.002,-0.003,-0.006,-0.009,-0.006,-0.005,-0.007,-0.013,-0.019,-0.019,-0.015,-0.015,-0.009,-0.004,-0.002,-0.005,-0.004,0.002
Sudan ,0.022,0.018,0.019,0.012,0.006,0.008,-0.003,-0.005,-0.003,-0.008,-0.014,-0.008,-0.016,-0.023,-0.012,-0.008,0.010,0.027,0.018,0.000,0.005,0.000,0.013,0.021,0.006,-0.013,-0.025,-0.036,-0.032,-0.012,-0.020,-0.013,-0.029,-0.022,-0.014,-0.003,0.000,0.047,0.067,0.080,0.104
Swaziland,0.026,0.033,0.049,0.051,0.059,0.071,0.071,0.077,0.069,0.067,0.081,0.070,0.061,0.061,0.057,0.046,0.044,0.038,0.045,0.042,0.016,0.021,0.015,0.009,0.000,0.001,0.001,0.005,-0.001,0.002,0.002,-0.004,-0.009,-0.006,-0.002,-0.001,0.000,-0.003,0.005,0.005,0.008
Tanzania ,0.008,-0.005,0.001,0.010,0.007,0.008,0.018,0.020,0.024,0.020,0.022,0.027,0.024,0.021,0.017,0.019,0.014,0.013,0.011,0.010,0.006,0.001,-0.004,-0.008,-0.007,-0.013,-0.016,-0.014,-0.013,-0.011,-0.009,-0.006,-0.006,-0.005,-0.007,-0.003,-0.001,-0.002,-0.002,-0.002,0.000
Togo,0.020,0.022,0.022,0.023,0.032,0.041,0.046,0.048,0.049,0.056,0.044,0.045,0.044,0.035,0.026,0.013,0.003,0.004,0.009,0.005,0.002,-0.012,-0.020,-0.023,-0.025,-0.021,-0.019,-0.024,-0.030,-0.034,-0.031,-0.026,-0.026,-0.034,-0.018,-0.018,-0.013,-0.020,-0.026,-0.026,-0.026
Tunisia ,0.019,0.026,0.012,0.023,0.024,0.036,0.031,0.033,0.030,0.038,0.031,0.033,0.052,0.036,0.040,0.040,0.045,0.049,0.045,0.048,0.049,0.043,0.026,0.032,0.027,0.026,0.017,0.020,0.014,0.011,0.013,0.012,0.020,0.018,0.018,0.016,0.026,0.025,0.031,0.034,0.032
Uganda ,0.004,0.007,0.004,0.011,0.019,0.015,0.015,0.016,0.018,0.023,0.020,0.024,0.021,0.011,0.004,0.000,-0.005,-0.008,-0.016,-0.037,-0.041,-0.040,-0.033,-0.027,-0.036,-0.033,-0.035,-0.031,-0.021,-0.004,0.002,-0.001,-0.007,-0.007,0.008,0.017,0.027,0.027,0.025,0.026,0.028
Congo-Kinshasa,0.028,0.004,0.014,0.012,0.004,0.001,0.000,-0.005,0.001,0.006,0.003,0.020,0.001,0.004,0.010,0.003,-0.010,-0.008,-0.018,-0.027,-0.025,-0.028,-0.029,-0.036,-0.034,-0.028,-0.018,-0.017,-0.010,-0.011,-0.016,-0.027,-0.038,-0.054,-0.063,-0.064,-0.069,-0.075,-0.076,-0.079,-0.083
Zambia ,0.038,0.032,0.024,0.020,0.026,0.045,0.028,0.031,0.035,0.014,0.011,0.011,0.020,0.016,0.011,-0.010,0.001,-0.011,-0.012,-0.015,-0.016,-0.011,-0.023,-0.025,-0.033,-0.028,-0.034,-0.027,-0.022,-0.018,-0.012,-0.018,-0.013,-0.010,-0.022,-0.026,-0.019,-0.018,-0.025,-0.024,-0.029
Zimbabwe,0.030,0.028,0.026,0.017,0.021,0.020,0.008,0.009,0.010,0.016,0.032,0.035,0.042,0.047,0.041,0.036,0.034,0.019,0.021,0.011,0.001,0.004,-0.001,-0.004,-0.010,-0.005,-0.003,0.003,0.007,0.012,0.005,0.000,-0.011,-0.009,0.001,-0.002,0.007,0.012,0.006,-0.002,-0.010
