Country Name,country_code,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Cuba,CUB,-0.004064134,-0.002872396,0.017480047,0.044525303,0.011009815,0.004635139,-0.008968826,-0.031891214,-0.029757138,-0.005622073,-0.006268667,0.000119291,0.018938374,0.004714224,0.00114226,-0.007240949,-0.00144028,-0.01390712,0.01540114,0.028351933,0.046294554,0.036693529,0.037591742,0.033691602,0.030027254,0.019225953,0.031481139,0.027767227,0.021390894,0.023229626,0.028896271,0.012360863,0.006285081,0.004351135,-0.002105289,-0.006126486,-0.030763377,-0.05769077,-0.092958805,-0.088962899,-0.081647193,-0.041931508,-0.0058378,0.032667572,0.042074364,0.046275408,0.034960167,0.031276725,0.036392101,0.034707705,0.045956643,0.06416742,0.076294345,0.077195165
Dominican Rep.,DOM,0.02865382,0.024415832,0.020159948,0.032864804,0.022200062,0.019506152,-0.004503944,0.014801861,0.017183957,0.029469028,-0.006794954,0.023613604,-0.001014531,-0.012624459,-0.004268968,0.044028959,0.039477121,0.057770113,0.082567772,0.07303038,0.062194624,0.055294315,0.041375965,0.023084475,0.020674131,0.023527765,0.018785625,0.012990815,0.01739184,0.00974561,-0.006818804,-0.008616526,0.002664749,-0.004320971,0.019554141,0.015173088,0.011446906,0.017491214,0.031079089,0.011971517,0.033402998,0.046158641,0.041625552,0.041242435,0.050042132,0.050453577,0.040000232,0.035941939,0.021830427,0.011705873,0.019049138,0.036780268,0.042512376,0.054187024
Ecuador ,ECU,0.035266472,0.036546116,0.021304851,0.01948124,0.010255143,0.011697888,0.014810748,0.016661846,0.015066387,0.019804391,0.015137561,0.00974634,0.013383321,0.017085604,0.007269062,0.013444928,0.020992456,0.035120786,0.074555084,0.083250134,0.08159749,0.087682101,0.072391633,0.038361412,0.036271098,0.035187905,0.025247727,0.015038581,-0.003194426,-0.004934527,-0.005598113,-0.006780222,-0.020830024,0.005145572,-0.002042062,-0.004662802,0.002251211,0.020433772,0.001962318,0.011086336,0.007884164,0.000774747,0.00199583,0.00426663,-0.015015185,-0.007390723,-0.00193636,-0.000175273,0.003354356,0.030819269,0.03241998,0.031616376,0.028835235,0.037380841
El Salvador,SLV,0.017583629,0.028267558,0.023369041,0.01309799,0.019170187,0.016586068,0.007771556,0.019954933,0.023898551,0.033204096,0.035609325,0.04193521,0.029068845,0.026285636,0.013996978,0.008052814,0.004591427,0.007309902,0.011741392,0.020027877,0.027436085,0.026479072,0.025987329,0.029954555,0.013519888,-0.012270103,-0.029007973,-0.04424347,-0.052239172,-0.042969244,-0.022086467,-0.008994039,0.002045998,0.002883044,2.05E-05,0.001285377,0.005008575,0.014261628,0.023168924,0.032866775,0.038835746,0.036345582,0.03005405,0.024676233,0.019372775,0.011491825,0.011328076,0.007436877,0.004683067,0.001955657,0.003960429,0.009097107,0.014189164,0.014897532
Guatemala,GTM,-0.009419931,0.005117997,0.011999245,0.013839589,0.019817045,0.019783804,0.010787515,0.006875457,0.016319244,0.015948793,0.02213639,0.02689693,0.030317084,0.031092486,0.033460626,0.03589168,0.035472606,0.041286527,0.03691365,0.039617991,0.031715982,0.035055917,0.035760498,0.032149764,0.02892866,0.032567819,0.018653082,-0.003420792,-0.019268582,-0.027837019,-0.036826416,-0.038682582,-0.02890991,-0.018566852,-0.012158154,-0.004850132,0.002831065,0.010552154,0.015452641,0.015777313,0.019707298,0.019055242,0.017028315,0.01839255,0.019754401,0.01888716,0.018836189,0.018366025,0.01378209,0.012406981,0.010997174,0.016080088,0.020355486,0.021335397
Haïti,HTI,-0.001608119,0.011788285,-0.011925882,0.0092357,-0.01643415,0.003760334,-0.021379068,0.008601791,-0.020204808,-0.015560838,-0.025899818,-0.019143329,-0.040997948,-0.020472301,-0.0096047,-0.002629783,0.013428509,0.027180126,0.029530027,0.036943207,0.023979943,0.026926585,0.01959231,0.020077813,0.021714642,0.041400915,0.018434639,0.009985578,0.001546614,-0.012562337,-0.027193908,-0.022697552,-0.017977413,-0.018526765,-0.017562617,-0.018585563,-0.017870573,-0.044886184,-0.050706724,-0.068876474,-0.05950595,-0.052486779,-0.018909765,-0.009830631,0.013348207,0.005791916,-0.004070063,-0.010238525,-0.013740085,-0.026158231,-0.024569933,-0.016915595,-0.009216951,-0.007294981
Honduras,HND,-0.003142411,0.001402046,0.002318368,-0.00724088,0.009116011,0.015732378,0.00470146,0.006285674,0.006709904,0.011133025,0.015097867,0.021068458,0.020696387,0.025004016,0.016373863,0.006498739,0.003107585,-0.00066488,-0.00278193,0.022803307,0.021633078,0.034435009,0.048330783,0.058720402,0.040417818,0.035482576,0.018813572,-0.005137881,-0.025078454,-0.026587431,-0.018900483,-0.021255423,-0.006402515,0.004990987,0.005462549,-0.001864913,0.003127202,0.003846968,0.008408991,-0.002616555,0.004545439,0.00629418,0.005060026,-0.002263712,-0.001546177,0.001286364,-6.70E-05,-0.003872761,-0.000477762,0.015940401,0.019066959,0.02767304,0.035488757,0.035308343
Jamaica ,JAM,0.087747015,0.091727027,0.104135528,0.077687174,0.064629328,0.056031913,0.042918886,0.019786989,0.02320628,0.027031369,0.029563028,0.029762649,0.031453314,0.035595415,0.036876325,0.046271059,0.039800386,0.039504095,0.046935083,0.023471516,-0.000197347,-0.012919666,-0.022034204,-0.035951236,-0.031187744,-0.040834426,-0.023612978,-0.018154925,-0.013685723,-0.009886153,-0.006564565,-0.006284361,0.009164166,0.010677437,0.025812445,0.046246413,0.044009503,0.030547036,0.026536395,0.013014489,0.005408472,0.002364475,-0.003573483,-0.009770148,-0.009349061,-0.01224473,-0.009221725,-0.004809337,0.005035715,0.006383984,0.007342555,0.010206701,0.011337696,0.00345865
Nicaragua,NIC,0.050953017,0.037009083,0.021250427,0.016881618,0.001661298,-0.008703094,0.005650907,0.010032546,0.030261589,0.050080338,0.066359328,0.057860594,0.050222708,0.031606733,0.022092624,0.005597524,0.008632505,0.001939304,0.009730948,0.023886347,0.021612233,0.022129042,0.031925926,0.006770222,-0.078376137,-0.071939685,-0.071866076,-0.087532671,-0.064258014,-0.007325642,-0.020295753,-0.032345473,-0.031612298,-0.063400526,-0.062788741,-0.058610177,-0.060393707,-0.059995674,-0.039085039,-0.029167164,-0.017794786,-0.003422384,0.007520541,0.017828159,0.047946275,0.029518346,0.027089489,0.01891661,0.016278605,0.033111322,0.010403821,0.012625521,0.018212805,0.020025594
Panama,PAN,0.014119961,0.026303142,0.036113939,0.026165997,0.0310247,0.030745015,0.04073373,0.036106862,0.051591113,0.046930621,0.052303154,0.045785521,0.045655339,0.041486439,0.048426832,0.043305922,0.044907774,0.039356221,0.037654661,0.027203928,0.019264923,0.007452137,-0.00062509,0.007899907,0.012909809,0.039086719,0.044987718,0.055319726,0.036736679,0.027430236,0.008247487,0.006630022,0.000781924,-0.033842729,-0.033617243,-0.033472473,-0.022956973,-0.012141714,0.032573456,0.039707196,0.034279689,0.021512196,0.014152965,0.01170702,0.012184992,0.013585583,0.010279349,0.00660375,0.006684706,0.008798819,0.00995482,0.017695273,0.026849797,0.030968846
Paraguay,PRY,-0.007864348,-0.003221479,0.009434155,0.015022971,0.011205451,0.004207503,0.005189157,0.009764875,0.004109995,0.013106621,0.022521529,0.015154946,0.013710763,0.01514509,0.01410315,0.014875887,0.021235907,0.01876279,0.026395649,0.03441357,0.034599743,0.039914362,0.051635406,0.059231018,0.066113414,0.082673519,0.08604016,0.055599776,0.026290199,0.009860583,-0.010485801,-0.027613442,-0.012622721,0.005895576,0.011083445,0.009365728,0.014709709,0.00961937,0.00498919,-0.000330193,0.002662284,0.000486522,0.002516702,-0.005829602,-0.010436201,-0.019645778,-0.017851882,-0.022741457,-0.014303875,-0.007018016,-0.000240786,0.004393323,0.018118405,0.022266309
Puerto Rico ,PRI,0.043252718,0.051910602,0.048592534,0.039722285,0.048134235,0.052435679,0.053011308,0.055076338,0.069532772,0.06322811,0.066463168,0.063084632,0.062873443,0.053948293,0.058229369,0.061133998,0.058740875,0.056550692,0.059735481,0.044099596,0.018147409,0.013209175,0.013807844,0.013784622,0.024123769,0.033303145,0.029312349,0.011218024,-0.000566263,0.002882326,0.004617535,0.018315815,0.035191705,0.047852975,0.04346789,0.047092983,0.035931721,0.035782256,0.032210925,0.030611843,0.032063333,0.033213082,0.030313185,0.02800469,0.028915412,0.02719417,0.026010667,0.021027315,0.018011383,0.013009892,0.012063721,0.013106455,0.013370526,0.007963722
T. & Tobago ,TTO,0.032732916,0.053726581,0.062844337,0.072419351,0.079687782,0.076892568,0.047218565,0.040365333,0.036767393,0.034398226,0.023769365,0.025739556,0.023805442,0.027211722,0.030338927,0.032371055,0.027158616,0.033230699,0.024806783,0.027704985,0.020353549,0.035493109,0.03598819,0.054393165,0.0517237,0.063087381,0.052748584,0.027210121,-0.012024643,-0.00974937,-0.033164132,-0.048002861,-0.044760584,-0.035186592,-0.046036572,-0.032804438,-0.017273633,-0.008004335,-0.000559613,0.010978017,0.017239013,0.018955445,0.028450597,0.041134839,0.046770534,0.048515051,0.049580268,0.049967099,0.068882364,0.071284071,0.072346064,0.092300026,0.09506779,0.070516592
