country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Switzerland ,9063.698338,9684.14403,9630.114226,9840.303403,10287.07649,10866.86747,11439.04856,11705.42333,11296.78784,11870.1274,12456.73256,13098.69376,13353.51218,13710.4854,14190.7593,14503.6177,14727.31821,15010.3909,15373.77691,16030.90792,16903.62215,17381.03537,17774.3931,18203.56771,18414.39628,17224.01812,17170.31828,17635.29491,17662.18697,18050.21068,18779.12288,18956.18206,18560.3991,18559.85927,19037.82786,19586.45717,19786.3397,19791.75157,20242.65108,20935.28453,21487.19471,21039.62782,20803.53954,20590.81299,20685.44933,20659.51843,20688.71205,21071.98968,21603.49053,21828.10474,22521.38119
UK,6939.37399,7123.364486,7090.71981,7345.798826,7619.206146,7868.134888,7928.747265,8017.013416,7965.809649,8239.799061,8645.230276,8856.66673,8865.383172,9149.184149,9567.965031,9751.536339,9885.310104,10048.89099,10409.95037,10551.68497,10767.47196,10941.47423,11293.92464,12025.2802,11858.90367,11847.08708,12114.95214,12383.61309,12827.83485,13167.2832,12931.49128,12747.4263,12954.6474,13404.46683,13720.05724,14164.54611,14741.81575,15393.43739,16109.99643,16413.72292,16429.91158,16155.29228,16133.4947,16458.29616,17117.94169,17585.5274,18044.00318,19115.07246,19724.08541,20269.48154,21045.72002
Ireland ,3452.898362,3544.068197,3642.42269,3746.805139,3793.965409,3920.260153,3897.068754,3914.224764,3869.512492,4038.281544,4282.132768,4508.391584,4636.042403,4821.403509,4985.684358,5051.460362,5080.443828,5351.884418,5769.613734,6089.349193,6199.450866,6353.624551,6662.809152,6866.783808,7042.442865,7316.274825,7302.497057,7795.470522,8249.849125,8366.486551,8540.723317,8716.094558,8821.264368,8739.726027,9055.539813,9305.932203,9264.793108,9698.296562,10234.30417,10879.82466,11817.74129,11968.78018,12275.09444,12533.08368,13191.09786,14388.55084,15386.93629,16857.89804,17944.85262,19479.44824,21026.81963
Greece ,1915.007452,2061.754012,2053.21178,2309.425688,2358.295753,2513.577865,2705.885297,2858.989222,2963.124649,3040.264892,3145.637807,3392.692351,3499.193263,3840.617952,4141.154341,4508.947195,4749.089556,4950.64442,5265.786233,5766.141663,6210.645384,6623.911396,7399.904687,7655.318809,7349.679866,7721.513922,8104.555485,8255.161772,8694.523486,8903.718354,8971.216504,8896.072194,8879.08625,8865.786239,9066.801629,9315.695166,9440.006753,9374.614642,9783.90365,10111.3923,10015.40041,10203.71032,10200.9495,9982.078397,10136.00413,10321.40033,10542.77241,10902.40012,11250.16278,11616.43106,12110.84552
Portugal ,2086.405496,2167.662907,2161.376018,2297.950215,2393.392106,2474.748637,2564.070352,2658.871695,2672.314382,2794.047905,2955.835648,3119.186819,3330.450786,3504.118217,3718.3886,3992.397728,4163.995257,4481.160057,4873.368769,4986.58928,5472.899759,5870.785111,6355.422526,7062.984977,7047.690228,6517.204702,6814.197093,7165.669696,7339.99534,7733.306186,8044.243081,8114.452686,8279.604246,8254.659048,8088.808258,8305.992245,8641.006212,9185.107968,9867.738993,10371.91125,10826.39889,11303.51013,11416.68043,11138.3601,11178.69519,11613.61835,12000.97625,12460.15033,13012.74447,13465.66499,13922.21738
Spain ,2188.970566,2386.492902,2558.470494,2527.623818,2695.591422,2778.324925,2977.875423,3046.115401,3149.817572,3050.451888,3071.649933,3436.039484,3799.530401,4151.374137,4514.937244,4762.235585,5059.753682,5334.110597,5588.174071,6032.041152,6319.133697,6618.471395,7099.291775,7661.342131,8149.433297,8346.301907,8599.269157,8833.063476,9022.997022,9068.087985,9202.509792,9185.712621,9293.002637,9477.80292,9570.975429,9721.770575,9997.996257,10520.05182,11045.99566,11581.57655,12054.80858,12327.06172,12412.97867,12258.51197,12528.4742,13132.08999,13423.04352,13912.05806,14483.27403,15093.24859,15723.5687
Australia ,7411.576424,7507.343783,7417.837696,7505.25744,7790.585565,8027.412053,8108.324879,8090.238535,8305.474779,8628.438443,8790.908221,8653.137983,9026.798412,9399.914539,9848.904077,10151.85783,10241.28271,10732.74651,11148.30527,11560.99528,12023.54473,12289.52169,12404.41679,12878.09034,12985.12402,13169.83023,13558.83727,13546.37241,13768.65096,14319.54181,14411.83916,14660.33561,14411.81902,14238.92364,15062.41135,15638.35616,15757.16981,16293.30111,16752.2561,17194.4128,17172.68224,16743.32399,16988.87401,17478.18521,18145.56849,18529.55821,19075.08248,19612.09177,20377.94976,20970.89429,21377.82313
N. Zealand ,8455.649239,7653.324528,7796.293753,7855.851667,8743.398132,8725.437325,9000.183171,9045.006138,9185.490633,9630.126609,9465.178818,9744.907398,9730.565992,10132.01645,10418.41085,10878.65475,11362.02117,10681.96397,10545.4875,11511.20674,11189.33541,11576.18335,11850.39773,12424.22217,12879.28329,12488.61377,12648.28527,11989.00439,12033.92507,12284.21103,12346.73438,12883.89396,12996.26982,13184.469,13666.46452,13664.25993,13879.67674,13891.40811,13815.82862,13869.15335,13687.46339,13374.22335,13373.42153,14031.54395,14551.04778,14909.24714,15144.36517,15407.10715,15477.08033,16202.02373,16518.11579
Canada,7291.479766,7533.490223,7833.035205,7984.259099,7699.418882,8201.251112,8651.945715,8606.741597,8534.014767,8676.236851,8752.507628,8832.745004,9276.909344,9566.381691,9999.364316,10472.91669,10946.13511,11078.26999,11479.06409,11912.35222,12050.49052,12561.92569,13072.49433,13837.89534,14204.68902,14316.26252,14902.39184,15222.68074,15680.20036,16170.14528,16175.70639,16472.4498,15779.40552,16076.4133,16835.82473,17582.06895,17862.10397,18348.15459,18993.07673,19108.48707,18872.38851,18262.46377,18146.72469,18309.10769,18941.7684,19237.79771,19330.59662,19961.8229,20612.38735,21563.04068,22487.70819
USA,9561.34786,10116.24634,10315.54461,10612.608,10359.10836,10896.85472,10914.28216,10919.98674,10630.52801,11230.16926,11328.47552,11401.73443,11904.98451,12242.3405,12772.56643,13418.70172,14133.52666,14330.0304,14862.93883,15179.40862,15029.84609,15304.29883,15943.86744,16689.34307,16491.26974,16283.63268,16975.08657,17566.50275,18372.97212,18789.3937,18577.36665,18855.55487,18325.12026,18920.15639,20122.6671,20717.32296,21236.08546,21787.69367,22499.44162,23059.27819,23200.56031,22832.79005,23284.98188,23640.11258,24312.78896,24637.32986,25263.10165,26074.23942,26893.45086,27869.81203,28701.93432
Albania ,1001.338615,1044.557973,1046.233054,1088.53742,1120.48793,1180.895354,1192.770043,1269.213447,1326.395065,1380.996596,1450.914723,1462.967703,1511.390403,1562.942633,1616.472785,1675.446942,1738.263986,1803.690201,1868.785103,1932.253052,2003.536581,2083.621474,2165.203166,2273.048945,2281.522696,2289.472184,2298.636292,2308.691986,2319.317993,2330.625451,2347.084121,2359.676337,2372.65099,2386.501462,2400.087877,2412.648828,2427.97915,2443.259125,2458.729115,2477.271267,2499.400144,1835.706149,1764.003834,1936.949431,2067.467282,2307.584114,2481.856309,2197.91225,2405.34461,2751.885327,2962.279357
Bulgaria ,1651.031111,1988.63345,1893.255333,2085.074771,2024.696024,2147.782844,2128.01879,2330.406666,2508.121125,2683.529354,2911.712566,3071.991248,3295.255,3418.002009,3657.38365,3849.958832,4125.289373,4319.743063,4368.032415,4545.745121,4773.223454,4901.828688,5110.178653,5284.370923,5413.867295,5830.80839,5981.85445,5896.163944,6019.224748,6244.996615,6043.799907,6186.450815,6370.159042,6237.074245,6430.410796,6225.903062,6379.662904,6382.291167,6335.163404,6216.078519,5596.900393,5197.861011,4884.37156,4935.733433,5078.239363,5285.328756,4844.28191,4628.009214,4870.395157,5137.232793,5483.308819
Czecho-slovakia,3500.637125,3523.729361,3597.634511,3544.214881,3651.565719,3921.886321,4110.083449,4319.764684,4609.97735,4779.849784,5108.318511,5263.483804,5303.664803,5169.698731,5372.45313,5532.700983,5740.616136,5964.252451,6222.506751,6353.893729,6466.339873,6658.353235,6858.415236,7041.268893,7242.837661,7399.328733,7461.159378,7743.525684,7786.432962,7804.387469,7982.016037,7912.467947,8045.450807,8147.204911,8319.450689,8367.152164,8507.219289,8533.713962,8708.743909,8767.784315,8512.644063,7438.598247,7254.190679,7282.490554,7516.672908,7955.790154,8374.453061,8438.77728,8542.702435,8643.275977,8929.926071
Hungary ,2479.958155,2694.968371,2761.989525,2785.505074,2850.23896,3070.169408,2905.790086,3169.442959,3367.027015,3484.114172,3649.101588,3816.228053,3961.874465,4167.658156,4388.01411,4409.528212,4646.148813,4893.938298,4934.100518,5062.160961,5027.915451,5238.142085,5335.764078,5595.510333,5715.815244,5804.765781,5790.654293,6126.097408,6253.294666,6251.019434,6306.45505,6350.555215,6583.214688,6525.412218,6709.614676,6556.561512,6699.265635,6814.351138,7030.970402,6902.909966,6458.809782,5676.131801,5510.026437,5506.400272,5687.114616,5780.662224,5802.102483,6000.946278,6263.239677,6481.813597,6771.783594
Poland ,2446.892687,2510.237989,2521.209018,2617.649569,2714.773839,2793.780205,2863.698519,2962.289586,3056.921864,3096.222512,3214.665558,3426.209302,3340.533303,3502.408022,3621.887656,3786.838577,3991.394903,4102.903944,4317.452051,4241.267479,4427.795779,4706.959578,5009.785534,5339.545055,5600.608091,5807.869852,5895.404427,5949.379617,6110.846791,5942.08551,5739.878092,5385.241122,5288.2434,5497.596732,5650.481671,5660.398915,5796.523615,5682.956569,5789.146008,5683.809625,5113.40548,4738.038523,4842.32787,5010.675696,5264.856557,5623.226713,5969.539351,6388.403455,6704.256873,7008.154548,7308.839204
Romania ,1181.951961,1255.709427,1333.07276,1411.111771,1496.068075,1577.91426,1623.386225,1671.683962,1723.587153,1782.964068,1843.718805,1951.043923,2007.272732,2136.610671,2258.200326,2386.121918,2642.923207,2743.146904,2739.176163,2823.873774,2852.907143,3221.038626,3396.220036,3476.708926,3636.865806,3761.370441,3916.767454,3966.388727,4062.951243,4148.189492,4135.400013,4086.772718,4071.910202,4026.587176,4177.946748,4158.593716,4214.955714,4110.469886,4085.410856,3940.612474,3510.766008,3065.413948,2802.636572,2851.971118,2971.034645,3192.36484,3330.904185,3141.089932,2998.606483,2971.429004,3046.956099
Yugoslavia ,1427.869832,1464.852738,1333.414293,1436.070144,1464.50089,1706.895718,1605.567072,1910.254609,1934.658922,2225.295229,2370.374777,2478.40286,2535.383992,2810.577754,3100.406371,3124.517689,3332.402904,3373.998772,3464.618714,3765.288994,3945.465582,4221.895618,4358.663208,4533.101225,4873.407054,5003.737798,5148.623795,5508.23678,5823.604101,6193.920943,6297.191208,6339.921171,6324.200885,6215.208395,6291.854725,6279.260418,6460.714086,6348.441344,6200.734188,6202.771932,5646.310583,4891.345225,4008.414767,3388.605775,3538.8531,3766.603245,4119.534018,4529.458773,4753.479086,4642.070254,4849.658514
Russia,2841.458048,2805.852795,2936.641173,3012.586681,3106.135868,3312.806834,3566.327199,3575.790261,3777.098557,3669.090372,3945.337508,4097.831492,4140.214598,3985.192252,4438.893329,4633.651999,4803.707521,4962.963194,5201.89985,5225.29824,5575.010393,5667.245013,5642.894087,6059.251047,6175.796492,6134.712567,6363.172045,6454.464081,6558.514953,6472.337564,6427.243661,6432.64022,6535.974592,6687.238328,6709.003473,6708.457079,6922.546201,6952.002006,7042.583619,7111.778084,6894.107594,6425.072564,5473.778694,4929.030296,4246.550569,4024.14528,3909.138392,3992.715751,3904.794074,4094.602993,4457.755985
Argentina ,4986.724458,5073.029915,4717.413859,4874.493824,4979.828648,5237.000075,5285.31468,5460.686494,5697.980988,5241.468063,5559.465947,5861.841649,5677.233225,5455.440482,5926.126658,6370.747338,6320.604235,6398.951785,6577.756622,7037.280383,7301.966217,7529.937018,7634.565559,7961.973879,8334.083602,8122.497305,7965.20183,8304.381424,7807.247683,8226.909848,8205.979887,7606.558514,7245.755199,7387.053452,7425.854256,6834.930882,7223.791941,7297.928854,7054.363064,6520.109296,6432.921661,6954.710722,7383.739587,7748.367729,8119.048972,7785.950334,8090.801274,8614.729624,8899.888248,8545.157891,8409.969914
Brazil ,1671.722669,1702.101909,1752.235235,1784.168521,1847.598649,1925.743424,1896.435994,1994.121509,2111.213041,2221.001315,2334.855201,2437.273832,2510.961753,2463.232634,2472.177604,2448.391865,2526.735226,2553.97447,2704.245082,2859.841815,3056.71891,3278.47148,3537.878938,3880.121337,4080.936505,4187.382323,4469.619992,4565.360706,4678.40658,4889.959284,5195.033328,4849.569814,4762.826673,4498.143377,4643.22675,4913.962528,5201.660532,5269.529529,5154.552248,5223.679696,4920.05689,4887.812358,4782.211206,4937.484734,5144.890969,5280.435551,5313.327994,5411.327741,5333.894962,5269.867102,5417.94332
Chile ,3669.741798,3730.99784,3893.03185,4112.131182,3907.253806,3975.3891,3956.806051,4264.199787,4391.559576,4042.026695,4270.277231,4366.304858,4465.246923,4639.284082,4638.288359,4577.138538,4984.453509,5045.805815,5127.644877,5220.438323,5231.429389,5597.308919,5428.560219,5033.680306,4991.985694,4273.292655,4347.025561,4700.084469,5010.66067,5344.660999,5680.414863,5932.445916,5034.948175,4810.228903,5010.888421,5029.554167,5227.418854,5480.243784,5780.397394,6282.897442,6400.944474,6784.487812,7482.810871,7869.486706,8181.678288,8910.443755,9426.999805,9906.158183,10088.42831,9883.608018,10198.92856
Colombia ,2152.841293,2150.104471,2214.436653,2276.61705,2358.455624,2372.758245,2390.636012,2399.973547,2382.560505,2473.468495,2496.814494,2539.857068,2593.785907,2597.227622,2674.903261,2688.808831,2750.064421,2784.250396,2873.681856,2976.452312,3094.216436,3194.2593,3355.248595,3499.379758,3617.679464,3620.601036,3713.288416,3793.264063,4041.681329,4177.124885,4257.256581,4254.602241,4202.472508,4175.224038,4228.65686,4271.749361,4435.657895,4577.217963,4669.466107,4726.096512,4825.742634,4840.186836,4950.210928,5131.017034,5292.598378,5469.755103,5497.027516,5606.695216,5562.83568,5269.378486,5375.205431
Mexico ,2365.019284,2477.383186,2503.987733,2439.087348,2605.141138,2742.400117,2842.818714,2964.740121,3025.099223,3016.437911,3155.202619,3172.112421,3210.949215,3342.558268,3593.684233,3701.974279,3812.532565,3922.404571,4072.57421,4185.48456,4319.645997,4364.887462,4601.933535,4852.590122,5012.783638,5158.34022,5243.767097,5293.273636,5595.136853,5967.568432,6320.394056,6716.835077,6513.722942,6087.574451,6162.455375,6194.114741,5834.278719,5817.941858,5770.879434,5898.832481,6084.910965,6226.387975,6333.470963,6339.152999,6503.91349,6001.468879,6209.246686,6526.269368,6753.857331,6915.792332,7274.99279
Peru ,2307.631838,2425.698295,2487.384278,2578.5644,2582.810465,2702.992562,2751.294231,2809.503504,2742.984239,2682.494978,2969.086698,3142.158062,3280.559121,3334.441796,3465.159061,3593.958473,3788.35916,3830.550106,3685.476114,3676.48549,3854.223516,3915.818489,3929.643776,4022.842728,4119.337631,4325.977121,4270.606187,4156.947371,4049.06692,4180.79758,4262.834905,4342.375509,4247.124856,3594.104674,3675.661459,3666.066282,3946.008562,4192.209073,3766.441333,3237.01007,3008.287037,3028.228592,2952.726822,3029.957422,3351.227492,3572.673534,3598.829886,3782.662138,3699.835546,3679.949573,3736.817805
Uruguay,4659.397751,4954.882009,4956.579441,5138.533749,5390.791365,5351.581889,5360.169758,5332.873669,5402.349445,4859.676588,4960.155577,5036.286067,4858.250983,4819.705552,4858.068561,4859.767416,4974.263259,4720.621092,4747.160833,4990.972065,5184.05374,5130.143147,4944.997855,4974.392359,5123.294129,5417.018284,5601.537924,5628.690518,5888.160166,6214.824983,6554.607509,6873.244382,5971.698113,5583.138173,5487.034574,5559.760956,6014.846585,6453.263365,6413.298566,6454.015544,6464.630225,6664.045843,7163.186706,7324.363375,7824.629308,7679.497394,8071.734918,8434.4317,8775.832635,8494.072026,8340.856995
Venezuela,7461.959519,7663.18703,7991.811114,7956.457398,8417.386109,8749.86245,9123.697731,10057.78594,9816.283401,9997.403576,9645.889496,9001.589738,9057.915176,9134.379736,9562.093853,9841.487428,9677.244786,9921.570017,10249.34707,10262.42278,10671.76228,10446.30622,10245.36264,10625.0423,10507.49958,10471.64782,10929.3544,11250.88245,11164.30729,10919.59055,10139.22774,9841.124259,9356.135288,8745.421112,8623.034425,8521.42511,8724.504032,8804.935651,9080.103995,8093.960539,8312.867848,8907.165898,9234.497971,9060.606192,8665.717285,8831.346698,8648.616441,9034.626461,8906.042979,8237.707881,8409.045344
Bolivia ,1919.358734,2012.631093,2030.64875,1800.019559,1798.82239,1853.423417,1705.920882,1613.767997,1615.90297,1575.184926,1606.255895,1603.002976,1654.18354,1720.39818,1761.924004,1805.717934,1891.027542,1962.053276,2078.728332,2119.61125,2176.374954,2204.421234,2260.466347,2356.876385,2418.144213,2515.914728,2647.029387,2691.095329,2714.510295,2651.595716,2571.996608,2547.05671,2394.091408,2249.263347,2234.03247,2180.815797,2074.039743,2088.568765,2124.407385,2138.363899,2197.477905,2259.057444,2242.299574,2284.705585,2338.151663,2394.4178,2445.935974,2513.487067,2584.89356,2542.020744,2551.861478
Costa Rica,1963.131876,1951.222781,2113.747238,2352.712972,2289.225246,2459.821939,2301.115845,2405.825766,2604.798304,2598.012912,2715.497002,2722.53231,2784.742939,2918.673988,2961.427151,3126.501995,3258.491383,3348.614007,3497.152232,3622.191927,3753.911645,3889.37051,4118.168995,4318.583695,4430.134411,4396.00719,4506.098683,4768.890236,4870.078778,4959.477173,4910.565937,4681.232859,4234.507399,4229.954621,4431.910064,4340.330311,4446.017808,4529.948629,4560.967729,4698.362231,4746.99225,4745.083161,5056.193163,5284.003889,5377.589763,5436.686401,5343.311953,5502.38843,5822.47017,6157.894599,6135.721617
Cuba,2046.22565,2175.567149,2206.632481,1900.372944,1956.722191,2004.981582,2144.500685,2406.353979,2362.836457,2066.836056,2051.881188,2050.042052,2046.351904,2031.589436,2009.386156,1988.369657,2051.265097,2247.604595,2079.929908,2020.888611,1917.41625,2036.535606,2095.603072,2245.106431,2324.080785,2404.286554,2438.618961,2520.238021,2649.670522,2694.60307,2644.46971,2847.412601,2890.116724,2945.450865,3022.458392,3049.274786,3027.799685,2982.088676,3010.091209,2990.776326,2957.005612,2589.85958,2215.581743,1848.05424,1876.999908,1931.52324,2090.542522,2151.661797,2170.288208,2306.523116,2421.754007
Dominican Rep.,1026.788295,1116.519403,1172.458583,1122.651201,1150.07693,1182.570727,1259.643594,1295.504289,1319.66056,1283.531131,1302.49594,1231.531149,1394.264376,1437.009854,1484.133039,1258.841251,1383.966718,1387.206092,1348.564024,1452.723776,1561.47017,1679.57855,1836.95047,2005.1508,2066.536754,2111.320612,2198.205613,2249.754846,2247.524906,2289.173305,2371.659451,2412.583503,2399.731948,2449.885359,2402.915732,2291.895281,2310.418904,2431.876221,2397.411384,2647.219821,2471.128053,2445.716872,2652.129976,2793.845965,2809.515627,2912.35182,3064.741944,3252.017917,3419.493271,3586.452455,3725.016149
Ecuador ,1607.410041,1606.370574,1746.520167,1760.745193,1877.025748,1911.557747,1922.157117,1940.66502,1939.0665,1975.265963,2026.010256,2068.779367,2107.818462,2089.60855,2178.762887,2184.067847,2171.578906,2252.692769,2274.32473,2259.110336,2334.892521,2409.285567,2677.05389,3258.336169,3369.622109,3456.171213,3667.737016,3796.856629,3933.132626,4026.689368,4108.574764,4154.724807,4091.070357,3870.712196,3928.315988,3994.85382,4015.772105,3682.369726,3971.32747,3888.37015,3902.582273,4061.177842,4074.285969,4010.445726,4108.741391,4058.870314,4076.934155,4115.106504,4096.734362,3809.399176,3911.081132
El Salvador,1488.81328,1480.080975,1549.784249,1615.907543,1589.490001,1624.39181,1701.438067,1739.532771,1724.542,1747.798473,1763.646569,1768.587809,1920.160484,1940.700048,2057.889031,2100.831982,2171.851854,2215.948582,2209.528817,2205.998714,2186.793388,2222.171313,2298.133189,2342.32557,2435.933685,2503.697332,2532.375093,2612.673744,2714.798324,2605.114623,2353.817694,2185.779521,2083.634552,2076.019104,2091.492497,2105.111504,2089.236894,2105.03751,2106.118432,2091.706506,2118.67564,2142.084124,2259.48684,2361.671529,2458.794792,2563.296822,2560.704846,2620.051858,2667.797185,2706.371652,2714.005877
Guatemala,2084.893916,2047.29289,2024.005054,2032.119914,2004.443128,1988.528821,2100.222099,2148.387097,2176.684882,2211.083123,2193.170732,2215.973535,2223.2654,2360.186418,2393.11828,2446.902655,2530.456329,2581.343586,2750.644202,2821.199767,2918.693009,3012.256267,3160.072595,3297.215818,3426.121601,3411.844332,3578.582053,3766.984025,3862.433029,3951.200739,4004.81203,3925.025626,3702.992983,3504.381694,3431.02981,3319.746735,3222.378517,3197.794118,3190.913371,3227.465353,3240.017845,3268.251334,3370.110648,3445.191613,3490.230684,3572.111779,3591.733327,3666.987086,3773.891834,3848.859636,3922.432566
