Country Name,country_code,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Congo 'Brazzaville',COG,0.018398122,0.017733761,0.01722058,0.016844908,0.016417674,0.015238191,0.013980704,0.012612821,0.011407018,0.010228862,0.009783924,0.013137236,0.016727133,0.020041664,0.023435427,0.026787146,0.031932134,0.03711309,0.042319938,0.047406337,0.052524518,0.036835427,0.002832932,-0.016411133,-0.003997407,0.011845572,0.049456596,0.084025972,0.098197578,0.080496405,0.037008019,-0.015584152,-0.029527842,-0.038875283,-0.044021146,-0.031051246,-0.012703185,-0.008988783,-0.011567707,-0.030009699,-0.02655278,-0.022805587,-0.028022203,-0.018009283,-0.012721963,-0.007462852,-0.011311579,5.10E-06,-0.005195747,0.008954354,0.011282096,0.019447415,0.005823094,0.014870111
Côte d'Ivoire,CIV,0.016058257,0.015801727,0.015675585,0.015439846,0.014173994,0.021926871,0.029884787,0.028125153,0.048291972,0.072307139,0.047016918,0.04196485,0.033461625,0.02993103,0.003396886,0.027228394,0.020637297,0.028540242,0.015287617,0.013836044,-0.004953068,0.009760535,0.009874021,0.014901971,0.013706818,0.029640078,0.014493069,0.006385214,-0.019633518,-0.029329676,-0.034059177,-0.034731891,-0.038010059,-0.033706664,-0.028198079,-0.052978139,-0.059749458,-0.055842827,-0.028232206,-0.026950016,0.000641016,0.019198807,0.03169358,0.017548046,0.023216431,0.003880003,-0.010875851,-0.024019768,-0.035489968,-0.035662915,-0.022136886,-0.02002925,-0.013814692,-0.005984597
Djibouti,DJI,0.017042589,0.013336687,0.014231381,0.011144969,0.010759165,0.016563122,0.015472678,0.010661795,0.012800492,0.00537114,-0.001931598,-0.002448227,-6.22E-05,-0.003159039,-0.001796996,0.033540774,0.039879985,0.041121775,0.045869691,0.036093782,-0.000351594,0.001171953,-0.035603956,-0.046282325,-0.040975308,-0.042619108,-0.049250156,-0.013487343,-0.009625764,0.013188375,0.011432228,0.005094235,4.41E-05,-0.005662171,-0.035693144,-0.038135655,-0.037296689,-0.037656865,-0.040423732,-0.035020148,-0.037720259,-0.045991487,-0.044323124,-0.034143807,-0.025152688,-0.015898872,-0.002905167,0.001393868,0.005885508,0.004335567,0.007280847,0.012015143,0.017043362,0.022120349
Equatorial Guinea ,GNQ,0.028021513,0.025724676,0.025525553,0.023720601,0.024004834,0.03786514,0.048449535,0.064654243,0.088160867,0.107472272,0.114875188,0.103996654,0.09453742,0.071874728,0.035673306,0.00364044,-0.02151705,-0.059873387,-0.05637681,-0.0372195,-0.002302623,0.041237405,0.073488394,0.081005161,0.064330449,0.026739831,-0.003854688,-0.006497948,-0.023625326,0.017208172,-0.010703526,-0.000465362,0.007561424,0.018593768,-0.015705281,0.020968943,0.021634101,0.030567093,0.028600189,0.030302664,0.051895523,0.096750656,0.196418453,0.229628725,0.304728897,0.308810434,0.330929028,0.217071858,0.209631154,0.192554152,0.179239571,0.104762728,0.127896738,0.114468229
Eritrea & Ethiopia ,ETH,0.015908581,0.016570772,0.009088066,0.00400944,0.009091599,0.008356067,0.011143909,0.020543434,0.039191395,0.043335021,0.044551118,0.042278481,0.042347529,0.019962114,0.017353493,0.016807572,0.017309997,0.018710552,0.021577527,0.016266858,0.004967539,0.001346116,-0.003355122,-0.010851323,0.001299767,0.012323407,0.007066469,0.000472408,0.010090992,-0.0088869,-0.031764151,-0.01831154,-0.000110163,-0.00628946,-1.10E-05,0.00808645,-0.023432274,-0.060112844,-0.039025663,-0.035298833,-0.021304217,0.020175882,0.048025617,0.013103697,0.017953839,0.018007395,0.007759857,0.003923727,0.007796983,0.018336884,0.030921927,0.038639634,0.058558713,0.085799856
Gabon,GAB,0.03042428,0.03016389,0.02995373,0.029799571,0.029490511,0.029911251,0.045264682,0.043042814,0.041706517,0.03660952,0.030402051,0.015220921,0.016566976,0.01385217,0.0261263,0.038457515,0.048264308,0.060829472,0.07084777,0.115810345,0.098905525,0.142742746,0.066943911,-0.016075116,-0.069459936,-0.063465709,-0.119220674,-0.082027261,-0.019053431,-0.016042867,-0.030052723,-0.039180116,-0.060497715,-0.057440852,-0.054651768,-0.03784751,-0.014807092,0.005840232,0.005425549,0.003147906,0.000766429,-0.004585271,0.013365887,0.015624852,-0.029668441,-0.044055143,-0.046956537,-0.057098893,-0.058390067,-0.01877397,-0.007001866,-0.007702341,0.003886114,0.004189499
Gambia ,GMB,0.017935268,0.013601547,0.014298256,0.011499338,0.011022779,0.016846689,0.039653755,0.028547332,0.023496386,0.024606239,0.032260084,0.032162007,0.04148304,0.042819369,0.050513672,0.007703291,-0.00136833,0.005732596,0.011974881,0.028008541,0.036138716,0.036332053,0.031930133,0.011936911,0.005829014,-0.002070511,-0.025355619,-0.011317511,-0.026215545,-0.060589482,-0.058024087,-0.047138183,-0.060535482,-0.017310701,0.000857045,0.026378412,0.019546567,0.017053957,0.008307019,0.002038613,-0.013015207,-0.005130062,-0.003599682,-0.007695289,-0.001826755,0.017146588,0.017375387,0.002088584,0.008986731,0.011178787,0.010926079,0.012971447,0.032715991,0.032199182
Ghana,GHA,0.013504106,0.017459245,0.027475417,-0.002452814,0.000552165,0.028177782,0.023489662,0.026617778,0.037115616,0.013738701,0.002052276,-0.004936765,-0.011055497,-0.015344728,-0.012929509,0.004462336,0.019390522,0.009172757,0.011698061,0.018855175,-0.026204139,-0.046021593,-0.033592964,-0.020491141,-0.036202231,-0.01484771,-0.006168164,-0.024832381,-0.05830699,-0.045231106,-0.032982514,-0.02848114,-0.006774911,0.020819442,0.019464133,0.016558625,0.020062206,0.020080816,0.018914405,0.016770387,0.020331771,0.020369203,0.023367479,0.025488635,0.028678955,0.028497248,0.027756689,0.025899211,0.025255955,0.025966997,0.029100235,0.031830498,0.035117254,0.041541304
Guinea ,GIN,0.028418606,0.023981903,0.024682617,0.023070863,0.022367758,0.023600936,0.028655109,0.035815107,0.018068417,0.019254956,0.024176139,0.015250182,0.006837515,0.023981711,0.016884037,0.010239317,0.011988466,0.009723589,0.012222786,0.019989196,0.02127015,0.034123349,0.03440684,0.030864331,0.017268292,0.015729421,-0.002009961,-0.00291172,-0.005908609,-0.005759272,-0.01449225,-0.012979131,-0.0111996,-0.002778958,0.00379761,0.007908149,0.000259191,-0.001652484,-0.004276567,-0.005736323,-0.001082697,0.011134894,0.019247936,0.021639058,0.022863668,0.019475942,0.022582335,0.017059656,0.007441343,0.005055931,0.007599128,0.00210393,-0.001072382,0.006696686
Guinea Bissau ,GNB,0.061111449,0.07528343,0.075656745,0.068619115,0.032316291,0.051818623,0.038915705,0.038688234,0.041366257,0.060567231,0.064738247,0.064889288,0.065103708,0.06382627,0.053595087,0.049274718,0.027274358,0.027672749,0.021173974,0.018397629,0.011987734,0.015986687,-0.013914415,0.00751341,0.001132712,-0.039987053,-0.006953143,0.018552978,-0.024052849,-0.021184331,0.024149465,-0.011019274,-0.025570212,-0.001259691,-0.008378011,-0.012725015,-0.001499074,0.002428629,-0.00278676,0.001444115,0.003618602,0.003342829,0.013297153,-0.053964669,-0.043995626,-0.034710853,-0.043270487,-0.062931682,0.000601337,-0.009900761,-0.020363453,-0.018976275,-0.003427836,0.004263047
