country,country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Burma ,MMR,0.036,0.024,0.03,0.03,0.039,0.028,0.017,0.014,0.023,0.012,0.013,0.014,0.006,0.002,0.006,0.007,0.018,0.021,0.021,0.022,0.026,0.028,0.033,0.038,0.037,0.036,0.029,0.019,0,0,-0.005,-0.011,-0.007,-0.005,-0.002,0.002,0.009,0.019,0.037,0.044,0.055
Burundi,BDI,0.021,0,0.005,0.005,0.004,0.004,0.004,0.008,0.004,-0.003,0.02,0.044,0.027,0.031,0.026,0.023,0.027,0.03,0.03,0.03,0.011,0.012,0.019,0.013,0.013,0.023,0.019,0.011,0.016,0.018,0.016,0.012,0.012,0.008,0.006,-0.017,-0.028,-0.029,-0.028,-0.031,-0.035
Cambodia ,KHM,0.034,0.029,0.03,0.036,0.022,0.029,0.02,0.019,0.018,0.011,-0.004,-0.005,-0.016,0.009,-0.002,-0.017,-0.008,0,0.011,0.014,0.025,0.029,0.04,0.013,0.035,0.052,0.044,0.027,0.013,0.01,0.006,0.012,0.01,0.005,0.006,0.006,0.006,0.016,0.02,0.031,0.042
Cameroon ,CMR,0.022,0.019,0.018,0.018,0.017,0.015,0.015,0.014,0.016,0.017,0.017,0.018,0.019,0.016,0.016,0.019,0.015,0.017,0.015,0.014,0.02,0.032,0.034,0.039,0.041,0.044,0.049,0.038,0.027,0.013,0.002,-0.017,-0.028,-0.037,-0.046,-0.051,-0.052,-0.042,-0.032,-0.018,-0.012
Canada,CAN,0.018,0.016,0.017,0.018,0.026,0.025,0.024,0.026,0.03,0.032,0.032,0.036,0.035,0.038,0.036,0.032,0.031,0.032,0.032,0.031,0.03,0.027,0.019,0.015,0.017,0.021,0.018,0.019,0.019,0.017,0.016,0.01,0.014,0.013,0.012,0.009,0.008,0.008,0.008,0.012,0.018
Cape Colony/ South Africa ,ZAF,0.018,0.018,0.02,0.022,0.022,0.023,0.022,0.025,0.027,0.028,0.029,0.03,0.026,0.023,0.022,0.018,0.017,0.01,0.009,0.007,0.008,0.008,0.005,-0.002,-0.003,-0.006,-0.009,-0.006,-0.005,-0.007,-0.013,-0.019,-0.019,-0.015,-0.015,-0.009,-0.004,-0.002,-0.005,-0.004,0.002
Cape Verde ,CPV,0.012,0.014,0.016,0.017,0.021,0.022,0.022,0.028,0.03,0.023,0.02,0.008,-0.001,-0.004,-0.01,-0.009,-0.012,-0.014,-0.006,0.002,0.031,0.048,0.055,0.065,0.07,0.075,0.077,0.083,0.075,0.069,0.039,0.027,0.022,0.018,0.021,0.02,0.024,0.025,0.03,0.034,0.037
Centr. Afr. Rep.,CAF,0.018,0.018,0.011,0.006,0.004,0,-0.004,-0.005,-0.008,-0.007,-0.004,-0.011,-0.011,-0.006,-0.011,-0.01,-0.006,-0.002,-0.002,-0.013,-0.019,-0.015,-0.011,-0.022,-0.014,-0.015,-0.017,-0.027,-0.027,-0.018,-0.014,-0.016,-0.024,-0.018,-0.019,-0.014,-0.023,-0.013,-0.011,-0.01,-0.011
Chad ,TCD,0.018,0.015,0.017,0.011,0.004,0.001,-0.005,-0.009,-0.014,-0.011,-0.01,-0.01,-0.022,-0.026,-0.011,0.004,0.004,-0.004,-0.004,-0.034,-0.04,-0.039,-0.029,-0.013,-0.023,-0.017,-0.021,-0.017,-0.003,0.027,0.025,0.03,0.028,0.015,0.017,-0.006,0,0.007,0,-0.003,0.003
Chile ,CHL,0.015,0.016,0.014,0.012,0.017,0.014,0.023,0.017,0.016,0.026,0.021,0.025,0.02,0.008,0.007,-0.007,-0.014,-0.007,-0.002,0.002,0.008,0.006,-0.007,-0.005,0,0.016,0.019,0.015,0.014,0.016,0.012,0.014,0.04,0.05,0.05,0.059,0.061,0.061,0.057,0.046,0.048
