"","AFG","AGO","ALB","ARE","ARG","AUS","BDI","BEN","BFA","BGD","BGR","BOL","BRA","CAF","CAN","CHE","CHL","CHN","CMR","COD","COG","COL","CRI","CUB","CZE","DEU","DNK","DZA","ECU","EGY","ESP","ETH","FIN","GAB","GBR","GHA","GIN","GMB","GNB","GNQ","GRC","GTM","HND","HUN","IDN","IND","IRL","IRN","IRQ","ISR","ITA","JPN","KEN","KHM","KOR","LAO","LBN","LBR","LKA","MAR","MDG","MEX","MLI","MMR","MNG","MOZ","MRT","MWI","MYS","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","POL","PRT","PRY","ROU","RUS","RWA","SAU","SDN","SEN","SLE","SLV","SOM","SWE","SYR","TCD","TGO","THA","TUN","TUR","TZA","UGA","USA","VEN","VNM","ZAF","ZMB","ZWE"
"PAN",NA,NA,NA,NA,27634,12366,NA,NA,NA,NA,1289,NA,91892,NA,43008,187920,40620,1286102,NA,NA,NA,213959,NA,NA,9709,223659,48098,33751,386636,NA,272270,NA,23527,NA,76541,NA,NA,NA,NA,NA,96859,NA,NA,1394,195468,NA,8958,NA,NA,20207,741658,6478289,NA,NA,1271866,NA,NA,NA,NA,NA,NA,392481,NA,NA,NA,NA,NA,NA,189834,NA,NA,NA,32506,166429,NA,20878,NA,11024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PER",NA,NA,NA,32891,352073,69940,NA,NA,NA,NA,20927,134422,593971,NA,337429,71159,638863,843608,NA,NA,NA,535021,13360,2107,11736,471453,31857,6428,394102,NA,378354,NA,44358,NA,299853,1061,NA,NA,NA,NA,4052,27113,NA,15957,72291,NA,15271,NA,NA,18118,261518,831370,NA,NA,358679,NA,NA,NA,4991,4328,930,424948,NA,NA,NA,NA,NA,NA,50899,NA,69208,NA,94277,78021,NA,37636,NA,2292,73946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHL",NA,NA,NA,993902,38896,1200146,NA,647,NA,15361,2190,NA,251316,NA,1233829,272654,111713,2521603,NA,NA,NA,6966,34699,448,27648,2531776,79795,3765,NA,5920,240886,NA,458005,NA,2176020,NA,NA,NA,NA,NA,10576,NA,1012,203009,899844,NA,479177,831329,NA,389155,449203,13646174,3456,2104,4280500,NA,NA,NA,8953,3222,NA,636737,2315,11390,NA,759,NA,5524,3214469,NA,NA,NA,3452818,37374,NA,210412,224634,28497,28311,38340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL",3844,NA,NA,34325,92311,71592,2134,1894,494,17905,120590,474,385961,NA,340017,869129,19514,1465608,7035,NA,NA,37457,20671,NA,2697037,22882612,1509231,54682,89553,85803,1690498,5114,1168453,NA,3566617,10596,709,NA,NA,NA,280647,7630,10180,1406364,212876,NA,373799,42017,NA,188003,5989005,1117029,9799,NA,791237,NA,NA,75557,19629,108360,NA,149177,1685,NA,NA,265,2010,NA,299457,NA,30882,NA,2932897,774825,NA,16658,620,32410,31026,25237,58407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRT",NA,384629,NA,34306,196810,124765,NA,5016,10544,7196,28012,467,607433,NA,260220,621476,74743,392003,58701,NA,21399,97455,31006,22259,174406,10736628,594515,97157,15625,158555,14248403,NA,383908,32161,4848240,9256,2970,NA,149380,7810,159239,4396,4911,179983,47952,NA,355526,362599,NA,152725,3840418,1114896,3897,1113,435468,NA,9671,3821,8467,128949,6550,231478,14504,NA,NA,96795,13572,12464,87415,2879,823025,1386,2543238,883540,NA,26642,652,84142,14030,6889,14412,336919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRY",NA,NA,NA,NA,869992,NA,NA,NA,NA,NA,NA,NA,1184980,NA,4209,12344,108751,85683,NA,NA,NA,4314,NA,NA,NA,44759,1475,NA,2402,NA,76854,NA,554,NA,36296,NA,NA,NA,NA,NA,2137,NA,NA,NA,1428,NA,21886,NA,NA,NA,94523,72790,NA,NA,NA,NA,NA,NA,NA,NA,NA,9457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40896,1201,NA,NA,NA,NA,NA,35653,596,222,1721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROU",NA,NA,NA,50370,15962,98416,5751,1928,NA,4277,316446,NA,184966,NA,119013,202920,4354,276655,2905,NA,NA,23629,1205,20012,225940,3841529,76154,NA,18354,179625,283533,3447,62498,513,1049534,4954,3610,NA,NA,NA,656543,NA,NA,832517,29774,NA,94066,39648,NA,150383,4769967,217047,2426,NA,242055,NA,35593,NA,6273,40083,NA,33665,NA,NA,NA,329,NA,3933,43096,NA,NA,8704,562103,96890,NA,2949,NA,9330,7448,14741,5261,311629,42646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUS",15401,NA,6386,198140,218127,186261,NA,NA,NA,104891,1755747,1258,1060260,NA,645648,2642914,88789,7999868,1768,1294,NA,104339,13474,382083,2511586,19601059,868340,281708,192255,433856,2777783,56680,5110086,NA,3401422,18714,90163,NA,NA,NA,1353041,29288,16783,3107161,181021,NA,213711,873207,NA,1865056,10706947,5187432,19045,1110,2992203,NA,180136,NA,56236,310124,5731,193447,NA,NA,136106,NA,9618,NA,274481,NA,284729,8751,4246768,1031846,3526,73751,7031,88271,76164,42658,266331,5673583,256649,NA,1237781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4856,NA,NA,NA,NA,NA,NA,NA,24403,2346,NA,NA,NA,1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3640,8850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAU",NA,NA,NA,NA,63853,1839804,NA,NA,NA,NA,13187,NA,1437187,NA,896950,1097724,147569,3143150,NA,NA,NA,8299,NA,NA,36981,3457879,225857,NA,NA,NA,2005971,NA,161414,NA,3403990,NA,NA,NA,NA,NA,994135,NA,NA,27980,2046128,NA,272606,148807,NA,NA,3264173,17356309,NA,NA,10660906,NA,NA,NA,NA,641453,NA,470983,NA,NA,NA,NA,NA,NA,932010,NA,21407,NA,3230513,65592,NA,448976,235640,1293620,NA,2440,1127900,71130,427913,NA,46104,124294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
