"","AFG","AGO","ALB","ARE","ARG","AUS","BDI","BEN","BFA","BGD","BGR","BOL","BRA","CAF","CAN","CHE","CHL","CHN","CMR","COD","COG","COL","CRI","CUB","CZE","DEU","DNK","DZA","ECU","EGY","ESP","ETH","FIN","GAB","GBR","GHA","GIN","GMB","GNB","GNQ","GRC","GTM","HND","HUN","IDN","IND","IRL","IRN","IRQ","ISR","ITA","JPN","KEN","KHM","KOR","LAO","LBN","LBR","LKA","MAR","MDG","MEX","MLI","MMR","MNG","MOZ","MRT","MWI","MYS","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","POL","PRT","PRY","ROU","RUS","RWA","SAU","SDN","SEN","SLE","SLV","SOM","SWE","SYR","TCD","TGO","THA","TUN","TUR","TZA","UGA","USA","VEN","VNM","ZAF","ZMB","ZWE"
"TUN",NA,NA,NA,23386,92040,5802,NA,695,2737,9145,4287,NA,91320,NA,23828,86826,NA,96331,5889,NA,1236,NA,NA,20720,15185,1708664,19046,124525,NA,71770,689403,549,50400,3110,363241,2779,1481,NA,NA,NA,53416,NA,NA,38999,24945,NA,25919,65400,63806,NA,2614564,192739,1361,NA,101008,NA,9117,NA,NA,81303,NA,NA,3975,NA,NA,NA,NA,NA,26852,NA,NA,NA,363037,11090,NA,6235,1590,23803,NA,NA,1221,34821,50890,NA,36800,165407,NA,78706,4933,9658,NA,NA,NA,128414,11535,NA,NA,18529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TUR",8101,NA,55026,341199,120021,366161,NA,7772,3316,49398,669896,NA,343236,NA,444873,1120276,109697,1440979,23423,977,3358,9256,7494,NA,263001,12838097,423482,1467676,46760,504084,2523654,NA,808204,15191,4999606,38905,4022,NA,5214,812,835723,8325,5180,320825,259428,NA,586045,1038993,NA,NA,6354076,1752438,8624,1390,1213019,472,143466,22637,15194,165878,NA,112568,3713,NA,2406,1284,NA,NA,301462,NA,156321,NA,2493630,365223,1643,49229,NA,159365,33759,17835,36668,368477,260885,1063,934492,4793555,NA,1165974,38006,NA,NA,NA,NA,1687470,721490,NA,1702,244215,216797,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TZA",NA,NA,NA,NA,NA,17147,NA,NA,NA,NA,NA,NA,NA,NA,15098,3736,NA,86115,NA,NA,NA,NA,NA,NA,359,101836,10692,NA,NA,NA,19233,NA,11015,NA,120109,NA,NA,NA,NA,NA,5969,NA,NA,3655,49953,NA,6468,1758,NA,2953,46068,108553,NA,NA,21540,NA,NA,NA,NA,NA,NA,4108,NA,NA,NA,NA,NA,NA,24282,NA,NA,NA,85907,7061,NA,NA,57567,28523,NA,NA,NA,4215,NA,NA,2133,7758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28447,NA,5112,NA,NA,NA,NA,NA,NA,NA,NA
"UGA",NA,NA,NA,NA,NA,9225,NA,NA,NA,NA,NA,NA,612,NA,3055,5283,NA,12467,NA,NA,NA,1597,NA,NA,2724,62245,11493,NA,NA,NA,32380,NA,NA,NA,63814,NA,NA,NA,NA,NA,1850,NA,NA,NA,2775,NA,3120,NA,NA,3317,34823,38741,NA,NA,3418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1789,NA,NA,NA,45824,7885,NA,NA,NA,3126,NA,NA,NA,12168,13725,NA,2833,2280,NA,NA,NA,NA,NA,NA,NA,5184,NA,NA,NA,7033,NA,1718,NA,NA,NA,NA,NA,NA,NA,NA
"USA",NA,NA,NA,NA,7847372,20935622,NA,NA,NA,NA,442507,NA,28245097,NA,388807820,NA,6932126,129954737,NA,NA,NA,11259196,NA,NA,2536281,NA,4932073,3879334,3336551,NA,NA,NA,5769157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VNM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZAF",NA,198084,NA,264265,261762,1212786,NA,16431,NA,6264,5384,NA,533766,NA,626020,945169,71884,2031429,24674,118194,21356,29388,3000,946,NA,6438983,163423,6065,2844,23418,1162013,8905,412956,21991,6855761,93843,NA,2734,NA,NA,64638,3003,NA,101609,365994,NA,427459,1980792,NA,776063,3189449,5155101,215241,NA,1478305,NA,NA,3490,34348,88621,40758,252195,35790,NA,NA,743433,NA,264752,513163,NA,286554,282,1104677,160192,NA,82900,7003,91206,2185,23379,87346,92860,190508,4846,16486,144248,7605,2293860,5672,11883,2649,NA,NA,488859,4478,NA,15991,572082,13044,219147,195030,43014,NA,NA,NA,NA,NA,NA
"ZMB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZWE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
