"","Afghanistan","Afr.Other NS","Africa N.NES","Albania","Algeria","Angola","Areas NES","Argentina","Armenia","Asia NES","Asia West NS","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium-Lux","Belize","Benin","Bermuda","Bolivia","Bosnia Herzg","Br.Antr.Terr","Brazil","Bulgaria","Burkina Faso","Burundi","CACM NES","Cambodia","Cameroon","Canada","Carib. NES","Cent.Afr.Rep","Chad","Chile","China","China HK SAR","China MC SAR","China SC","Colombia","Congo","Costa Rica","Cote Divoire","Croatia","Cuba","Cyprus","Czech Rep","Czechoslovak","Dem.Rp.Congo","Denmark","Djibouti","Dominican Rp","E Europe NES","Ecuador","EEC NES","Egypt","El Salvador","Eq.Guinea","Estonia","Ethiopia","Eur. EFTA NS","Eur.Other NE","Falkland Is","Fiji","Finland","Fm USSR","Fm Yugoslav","Fr Ind O","Fr.Guiana","France,Monac","Gabon","Gambia","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Guadeloupe","Guatemala","Guinea","GuineaBissau","Guyana","Haiti","Honduras","Hungary","Iceland","India","Indonesia","Int Org","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea D P Rp","Korea Rep.","Kuwait","Kyrgyzstan","LAIA NES","Lao P.Dem.R","Latvia","Lebanon","Liberia","Libya","Lithuania","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Mongolia","Morocco","Mozambique","Myanmar","Nepal","Neth.Ant.Aru","Netherlands","Neutral Zone","New Calednia","New Zealand","Nicaragua","Niger","Nigeria","Norway","Occ.Pal.Terr","Oman","Oth.Oceania","Pakistan","Panama","Papua N.Guin","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Rep Moldova","Romania","Russian Fed","Rwanda","Samoa","Saudi Arabia","Senegal","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Somalia","South Africa","Spain","Sri Lanka","St.Helena","St.Kt-Nev-An","St.Pierre Mq","Sudan","Suriname","Sweden","Switz.Liecht","Syria","Taiwan","Tajikistan","Tanzania","TFYR Macedna","Thailand","Togo","Trinidad Tbg","Tunisia","Turkey","Turkmenistan","Uganda","UK","Ukraine","Untd Arab Em","Uruguay","US NES","USA","Uzbekistan","Venezuela","Viet Nam","World","Yemen","Yugoslavia","Zambia","Zimbabwe"
"Fr.Guiana",NA,NA,NA,NA,NA,NA,NA,621,NA,NA,NA,1281,226,NA,NA,NA,NA,NA,NA,9510,NA,NA,NA,NA,NA,NA,5433,NA,NA,NA,NA,NA,NA,1554,NA,NA,NA,892,212,NA,NA,NA,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1352050,NA,NA,NA,238016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,47448,NA,6491,NA,NA,NA,NA,NA,1788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,NA,403,NA,NA,NA,NA,9672,NA,NA,405,NA,NA,NA,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4337,NA,NA,NA,NA,NA,NA,290,532,NA,NA,NA,NA,NA,134,NA,NA,NA,223,NA,NA,3916,NA,NA,NA,NA,265797,NA,635,NA,1201004,NA,NA,NA,NA
"France,Monac",5443,NA,NA,5738,1779529,186499,NA,454236,717,1362,NA,784496,2221808,32750,45826,56391,284061,3750,40797,21942462,4248,5830,2567,50345,13860,NA,1870734,174347,24389,5809,NA,14985,422639,1683279,NA,7636,6658,636755,5737180,694595,168834,NA,252672,82113,70740,703918,105265,49360,27544,694880,412317,26739,2254390,467,36012,NA,105976,NA,253483,19532,10473,35914,21120,NA,NA,246,1787,1993694,3044194,819238,72191,36641,12785,404736,3998,19973,46009464,94945,1924,536520,12528,272691,37990,50449,846,11087,8285,24218,810936,136106,1007357,943127,NA,1116894,857139,3876694,790901,26094847,57118,9518267,4980,117360,67330,1159,18588,1688202,167295,3137,NA,21948,52573,33680,44439,501593,119520,244027,11992,1288602,7210,174646,77903,318461,559002,2716,2327496,3444,26019,8593,41524,13552575,NA,119143,211750,16464,170805,880108,4079597,NA,12808,794,334253,38010,4607,17746,134275,337016,1096976,2887057,11778,5452,483520,3307848,2784,193,2659651,168870,13449,6980,1868417,292551,671301,962,738101,16808149,134506,551,24243,5132,26737,38992,3822516,6446247,441680,2178425,11473,13290,30695,1347795,14672,106907,1429363,1276592,28486,40447,21403164,148361,164440,45403,2479,22498390,82445,168154,360742,259421589,44667,111421,69664,28736
"Gabon",NA,NA,NA,NA,118,NA,NA,2089,NA,NA,NA,527,694,NA,NA,NA,NA,NA,NA,26442,NA,NA,NA,NA,NA,NA,2294,NA,NA,NA,NA,NA,NA,4229,NA,NA,NA,109,2667,379,NA,NA,202,NA,NA,NA,NA,NA,NA,1102,NA,NA,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,NA,NA,NA,NA,364397,NA,NA,NA,21554,NA,NA,358,NA,NA,NA,NA,NA,NA,NA,NA,193,NA,1928,2056,NA,NA,NA,3017,835,24222,NA,38730,NA,121,NA,NA,NA,5041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1829,NA,NA,NA,NA,236,NA,8009,NA,NA,NA,NA,37426,NA,NA,168,NA,NA,11126,1944,NA,NA,NA,519,NA,NA,NA,NA,NA,109,1089,NA,NA,330,NA,NA,NA,146,NA,NA,NA,5476,NA,NA,NA,6992,18123,NA,NA,NA,NA,NA,NA,1380,1921,NA,NA,NA,NA,NA,14330,NA,NA,802,719,NA,NA,31339,NA,228,NA,NA,55466,NA,NA,NA,684141,NA,NA,NA,NA
"Gambia",NA,NA,NA,NA,NA,NA,NA,893,NA,NA,NA,356,883,NA,NA,NA,NA,NA,NA,12817,NA,NA,NA,NA,NA,NA,8554,189,NA,NA,NA,NA,NA,215,NA,NA,NA,348,52828,165,NA,NA,1776,NA,NA,NA,NA,NA,NA,148,NA,NA,2055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413,NA,NA,NA,NA,14484,NA,NA,NA,8057,NA,NA,593,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,7625,3472,NA,NA,NA,368,364,6921,NA,7132,NA,NA,NA,NA,NA,1586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,300,NA,945,NA,NA,NA,NA,16777,NA,NA,NA,NA,NA,993,1426,NA,NA,NA,2348,NA,NA,NA,NA,NA,770,411,NA,NA,1174,NA,NA,NA,NA,NA,NA,NA,938,NA,1541,NA,1365,3272,NA,NA,NA,NA,NA,NA,665,328,NA,NA,NA,NA,NA,8942,NA,NA,1139,519,NA,NA,21000,NA,NA,NA,NA,7175,NA,NA,NA,190398,NA,NA,NA,NA
"Georgia",NA,NA,NA,NA,NA,NA,NA,3743,NA,NA,NA,740,2096,NA,NA,NA,NA,NA,NA,6599,NA,NA,NA,NA,NA,NA,3500,26314,NA,NA,NA,NA,NA,4746,NA,NA,NA,NA,1757,NA,NA,NA,103,NA,NA,NA,NA,NA,NA,8325,NA,NA,8108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1767,NA,NA,NA,NA,19504,NA,NA,NA,40185,NA,NA,12012,NA,NA,NA,NA,NA,NA,NA,NA,4364,NA,725,6981,NA,5943,NA,536,3960,29144,NA,2442,NA,5309,NA,NA,NA,2452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1235,NA,NA,NA,NA,141,NA,129,NA,NA,NA,NA,9057,NA,NA,344,NA,NA,NA,565,NA,NA,NA,585,NA,NA,NA,NA,NA,6413,596,NA,NA,4051,83792,NA,NA,NA,NA,NA,NA,388,683,1198,NA,1105,2443,NA,NA,NA,NA,NA,NA,3592,1316,NA,NA,NA,NA,NA,1014,NA,NA,NA,92098,NA,NA,14196,NA,NA,NA,NA,82414,NA,NA,NA,423841,NA,NA,NA,NA
"Germany",11732,NA,NA,18677,1087492,126168,NA,980135,7134,3297,NA,1119481,17917085,53135,39120,30177,417174,4089,251835,26502795,2689,2147,1669,33922,56510,NA,3394399,478898,2922,28968,NA,45821,112329,2960893,NA,3257,18625,804874,11245535,2514258,243547,NA,788396,62976,277140,370335,756868,31008,95127,8043716,3871500,48179,8055689,419,59698,NA,284248,NA,280397,153784,3385,182726,107502,NA,NA,1362,4754,4477495,8571492,4671601,3246,3981,47386029,31619,723,14477,NA,200907,4268,1989310,8920,11904,116107,34343,1961,14586,4581,109219,5542521,260577,2194827,1924564,NA,699746,27403,6233283,1143044,35476003,80584,23003924,12280,286890,155193,11873,49942,4140929,94676,60062,NA,18843,308085,16094,22179,1841993,415784,51980,65079,2719953,5756,231745,18188,102557,820262,5098,564369,7381,34078,136484,26529,38334731,192,28274,444498,53447,415,777500,7220970,130,8078,225,575066,181836,197740,23995,269051,1144138,7618645,4501627,7809,42210,1374434,9192720,21868,1633,956441,14929,8364,11666,2854770,2383391,2206247,350,2153965,13293247,282836,NA,17752,1420,32388,25951,8982498,17205385,748274,5293372,8031,63101,277140,2095736,3187,39631,887525,5141791,29748,45352,29311804,489848,161986,117598,1136,32159952,151834,524962,601450,433048765,96428,348267,23432,165907
"Ghana",NA,NA,NA,NA,4403,NA,NA,3709,NA,NA,NA,22376,4864,NA,NA,NA,NA,NA,NA,43223,NA,NA,NA,NA,NA,NA,40631,3798,NA,NA,NA,NA,NA,33005,NA,NA,NA,306,65194,1430,NA,NA,443,NA,NA,NA,NA,NA,NA,1821,NA,NA,11638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6953,NA,NA,NA,NA,89494,NA,NA,NA,121735,NA,NA,2352,NA,NA,NA,NA,NA,NA,NA,NA,859,NA,30594,17135,NA,360,NA,12880,5050,137712,NA,82566,NA,360,NA,NA,NA,38965,320,NA,NA,NA,NA,NA,NA,1773,NA,NA,NA,7054,NA,NA,NA,NA,1035,NA,5237,NA,NA,NA,NA,93558,NA,NA,1520,NA,NA,245160,6712,NA,296,NA,4480,NA,NA,NA,389,157,3485,3186,337,NA,2413,3899,NA,NA,1948,NA,NA,NA,15242,1003,1213,NA,53338,52286,NA,NA,NA,NA,NA,NA,26259,12846,NA,NA,NA,NA,NA,31440,NA,NA,2878,12230,NA,NA,316775,NA,144,NA,NA,196018,NA,4375,NA,1749884,NA,NA,NA,NA
"Gibraltar",NA,NA,NA,NA,NA,12482,NA,3716,NA,NA,NA,876,3666,NA,NA,NA,NA,NA,NA,5522,NA,NA,NA,NA,NA,NA,4137,NA,NA,NA,NA,NA,NA,5302,NA,NA,NA,NA,4674,120,NA,NA,311,NA,NA,NA,NA,NA,NA,462,NA,NA,16583,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,NA,NA,NA,NA,19963,NA,NA,NA,36871,NA,NA,60826,NA,NA,NA,NA,NA,NA,NA,NA,390,NA,438,NA,NA,NA,NA,2186,6235,78601,NA,31815,NA,NA,NA,NA,NA,1298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,1121,NA,4940,NA,NA,NA,NA,28106,NA,NA,155,NA,NA,13085,9611,NA,NA,NA,215,NA,NA,NA,102,242,830,1852,NA,NA,443,382620,NA,NA,1532,NA,NA,NA,1592,178,150,NA,4928,196588,NA,NA,NA,NA,NA,NA,5712,8071,NA,NA,NA,NA,NA,379,NA,NA,727,1113,NA,NA,127866,NA,NA,NA,NA,10359,NA,NA,NA,853068,NA,NA,NA,NA
"Greece",122,NA,NA,28905,26833,464,19971,76166,603,146,NA,30282,273705,5490,20340,1571,5397,NA,2366,894902,538,1363,1703,265,2398,NA,134433,319292,654,NA,NA,836,9408,85977,NA,170,396,39060,407712,50694,1112,NA,11719,2720,2362,49418,14122,761,63464,94133,123104,2773,339086,318,700,NA,9704,NA,337432,268,NA,1934,2423,NA,NA,NA,610,244555,396813,221465,109,NA,2116553,20486,174,8707,4143640,3325,360,NA,606,NA,908,2008,197,137,NA,1300,77479,9575,80530,82948,NA,625833,80135,203626,110746,4086479,330,1115146,10806,44949,4803,1248,5286,553919,6065,103,NA,198,1460,9687,27873,260198,5561,585,2291,65066,588,17214,4030,475,20686,NA,29426,366,382,134,2598,1675683,441,266,31289,7784,8320,1727,76933,NA,1463,NA,31989,32768,2305,1761,4593,8759,85562,86361,750,4260,147479,618113,NA,NA,392425,13305,113,11396,49466,28084,18783,971,59252,814580,3961,NA,5528,117,8621,5290,420080,432874,40249,169593,6555,3559,39646,83114,5788,891,30269,244498,3537,2150,1578849,77502,8128,1723,9983,983152,8389,5382,10751,25825834,2951,72308,1400,12208
"Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1542,NA,NA,NA,NA,NA,NA,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3997,NA,NA,NA,NA,175,NA,NA,NA,2520,NA,NA,NA,NA,NA,NA,163,NA,NA,244123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,702,NA,NA,NA,NA,2619,NA,NA,NA,890,NA,NA,5290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,NA,NA,NA,NA,805,NA,1487,NA,1783,NA,NA,NA,NA,NA,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1455,NA,NA,2925,NA,NA,NA,21925,NA,NA,NA,195,NA,NA,NA,398,NA,7322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,1219,NA,NA,NA,NA,NA,NA,1413,166,NA,NA,NA,NA,NA,251,NA,NA,NA,NA,NA,NA,1876,NA,NA,NA,NA,3143,NA,NA,NA,289852,NA,NA,NA,NA
"Guadeloupe",NA,NA,NA,NA,NA,NA,NA,787,NA,NA,NA,2836,1368,NA,NA,NA,NA,NA,NA,35187,NA,NA,NA,NA,NA,NA,25918,NA,NA,NA,NA,NA,NA,6077,NA,NA,NA,NA,243,NA,NA,NA,2761,NA,NA,NA,NA,NA,NA,656,NA,NA,7009,NA,3042,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3272,NA,NA,NA,NA,2196817,NA,NA,NA,59384,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,NA,NA,NA,NA,327,2316,67897,NA,45065,NA,NA,NA,NA,NA,12645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479,NA,NA,NA,NA,104,NA,1285,NA,NA,NA,NA,28218,NA,NA,6909,NA,NA,NA,9480,NA,NA,NA,933,NA,NA,NA,NA,112,298,4264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1044,NA,NA,NA,489,32834,NA,NA,NA,NA,NA,NA,3301,3796,NA,NA,NA,NA,NA,518,NA,NA,1424,NA,NA,NA,29377,NA,NA,NA,NA,85620,NA,12907,NA,1532263,NA,NA,NA,NA
"Guatemala",NA,NA,NA,NA,NA,NA,NA,24902,NA,NA,NA,3237,2839,NA,NA,NA,NA,NA,NA,16759,NA,NA,NA,NA,NA,NA,59377,714,NA,NA,NA,NA,NA,50387,NA,NA,NA,13948,56590,8374,NA,NA,34042,NA,NA,NA,NA,NA,NA,1579,NA,NA,4476,NA,352,NA,18567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6886,NA,NA,NA,NA,29959,NA,NA,NA,101692,NA,NA,813,NA,NA,NA,NA,NA,NA,NA,NA,273,NA,3322,4383,NA,NA,NA,9449,10143,66764,NA,139028,NA,2323,NA,NA,NA,183716,NA,NA,NA,NA,NA,NA,NA,2365,NA,NA,NA,4466,NA,NA,NA,NA,363572,NA,NA,NA,NA,NA,NA,22259,NA,NA,10762,NA,NA,NA,4236,NA,NA,NA,7298,NA,NA,NA,8989,356,2312,1571,NA,NA,1661,17116,NA,NA,NA,NA,NA,NA,3242,1885,403,NA,3225,39253,NA,NA,NA,NA,NA,NA,11291,16983,NA,NA,NA,NA,NA,4951,NA,NA,2421,3807,NA,NA,38220,NA,NA,NA,NA,1435644,NA,102491,NA,2793012,NA,NA,NA,NA
"Guinea",NA,NA,NA,NA,615,NA,NA,412,NA,NA,NA,996,9464,NA,NA,NA,NA,NA,NA,43943,NA,NA,NA,NA,NA,NA,7618,1071,NA,NA,NA,NA,NA,3628,NA,NA,NA,172,28843,151,NA,NA,160,NA,NA,NA,NA,NA,NA,556,NA,NA,1197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,NA,NA,NA,NA,150441,NA,NA,NA,18290,NA,NA,2934,NA,NA,NA,NA,NA,NA,NA,NA,234,NA,3141,5010,NA,453,NA,789,1005,21546,NA,18032,NA,NA,NA,NA,NA,4352,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3732,NA,NA,NA,NA,196,NA,6397,NA,NA,NA,NA,26356,NA,NA,NA,NA,NA,8883,848,NA,334,NA,3024,NA,NA,NA,119,134,679,601,170,NA,660,1983,NA,NA,NA,NA,NA,NA,5797,699,731,NA,3648,18558,NA,NA,NA,NA,NA,NA,1863,5574,NA,NA,NA,NA,NA,1308,NA,NA,895,1578,NA,NA,20231,NA,398,NA,NA,62773,NA,NA,NA,481101,NA,NA,NA,NA
"GuineaBissau",NA,NA,NA,NA,NA,1066,NA,1034,NA,NA,NA,122,450,NA,NA,NA,NA,NA,NA,9847,NA,NA,NA,NA,NA,NA,5122,220,NA,NA,NA,NA,NA,319,NA,NA,NA,159,2716,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,668,NA,NA,2554,NA,NA,NA,759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,734,NA,NA,NA,NA,15975,NA,NA,NA,8862,NA,NA,261,NA,NA,NA,NA,NA,NA,NA,NA,458,NA,2442,304,NA,NA,NA,1685,183,5739,NA,7913,NA,NA,NA,NA,NA,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602,NA,NA,NA,NA,1451,NA,557,NA,NA,NA,NA,16624,NA,NA,174,NA,NA,NA,1130,NA,NA,NA,2714,NA,NA,NA,NA,531,532,111335,NA,NA,1747,725,NA,NA,NA,NA,NA,NA,291,NA,NA,NA,2140,7605,NA,NA,NA,NA,NA,NA,2389,1342,NA,NA,NA,NA,NA,19439,NA,NA,830,1630,NA,NA,8256,NA,NA,NA,NA,18895,NA,160,NA,257853,NA,NA,NA,NA
"Guyana",NA,NA,NA,NA,NA,NA,NA,208,NA,NA,NA,1179,2649,NA,NA,NA,NA,NA,NA,2179,NA,NA,NA,NA,NA,NA,4880,NA,NA,NA,NA,NA,NA,5558,NA,NA,NA,131,3713,180,NA,NA,1542,NA,NA,NA,NA,NA,NA,229,NA,NA,516,NA,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2928,NA,NA,NA,NA,5968,NA,NA,NA,4186,NA,NA,1192,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,697,418,NA,NA,NA,572,181,4109,NA,16560,NA,497,NA,NA,NA,2798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1959,NA,NA,NA,NA,905,NA,149,NA,NA,NA,NA,7763,NA,NA,2714,NA,NA,NA,1273,NA,NA,NA,335,NA,NA,NA,116,216,239,557,NA,NA,176,NA,NA,NA,414,NA,NA,NA,2283,154,NA,NA,559,604,NA,NA,NA,NA,NA,NA,1585,370,NA,NA,NA,NA,NA,652,NA,NA,NA,460,NA,NA,33442,NA,NA,NA,NA,114463,NA,5809,NA,218572,NA,NA,NA,NA
"Haiti",NA,NA,NA,NA,NA,NA,NA,5988,NA,NA,NA,231,540,NA,NA,NA,NA,NA,NA,4410,NA,NA,NA,NA,NA,NA,6062,NA,NA,NA,NA,NA,NA,14032,NA,NA,NA,3775,4848,539,NA,NA,13750,NA,NA,NA,NA,NA,NA,619,NA,NA,848,NA,13920,NA,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,NA,NA,NA,NA,21153,NA,NA,NA,12741,NA,NA,218,NA,NA,NA,NA,NA,NA,NA,NA,203,NA,1451,4108,NA,NA,NA,876,3416,3826,NA,21400,NA,NA,NA,NA,NA,8976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16711,NA,NA,NA,NA,9050,NA,146,NA,NA,NA,NA,13560,NA,NA,601,NA,NA,NA,1293,NA,NA,NA,444,NA,NA,NA,1253,2569,277,188,NA,NA,1034,968,NA,NA,NA,NA,NA,NA,1328,170,140,NA,519,5279,NA,NA,NA,NA,NA,NA,349,1705,NA,NA,NA,NA,NA,1365,NA,NA,145,3488,NA,NA,12103,NA,NA,NA,NA,398847,NA,9082,NA,570565,NA,NA,NA,NA
"Honduras",NA,NA,NA,NA,NA,NA,NA,3752,NA,NA,NA,1337,1515,NA,NA,NA,NA,NA,NA,7502,NA,NA,NA,NA,NA,NA,25682,1011,NA,NA,NA,NA,NA,9764,NA,NA,NA,4417,31541,4064,NA,NA,16051,NA,NA,NA,NA,NA,NA,725,NA,NA,2458,NA,7338,NA,2807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1819,NA,NA,NA,NA,19068,NA,NA,NA,27787,NA,NA,4581,NA,NA,NA,NA,NA,NA,NA,NA,235,NA,2597,3024,NA,NA,NA,1972,3277,16488,NA,88289,NA,524,NA,NA,NA,87622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2447,NA,NA,NA,NA,98740,NA,110,NA,NA,NA,NA,18013,NA,NA,620,NA,NA,NA,1601,NA,NA,NA,2114,NA,NA,NA,2931,383,1797,610,NA,NA,1660,11534,NA,NA,156,NA,NA,NA,17734,144,NA,NA,830,35388,NA,NA,NA,NA,NA,NA,2941,21336,NA,NA,NA,NA,NA,2795,NA,NA,NA,3214,NA,NA,15851,NA,NA,NA,NA,1401333,NA,15201,NA,1882459,NA,NA,NA,NA
"Hungary",216,NA,NA,1026,17289,11336,NA,15978,NA,102,NA,8760,1913567,258,259,417,2283,224,42051,437555,NA,147,128,173,1389,NA,157714,23007,390,4166,NA,295,3731,50764,NA,1458,233,2052,280538,50317,778,NA,11913,4108,5855,6849,47200,346,3438,447747,472762,951,107198,NA,328,NA,5900,NA,6828,494,461,4797,2399,NA,NA,NA,NA,213618,1764929,122672,NA,NA,770721,468,NA,357,4819310,1160,NA,43746,NA,NA,958,2570,NA,1530,NA,1300,NA,936,44796,49938,NA,8196,4720,101902,42464,1391152,635,652449,313,13514,514,546,679,193504,NA,428,NA,1069,2298,189,NA,20839,22826,815,7443,93308,463,3209,126,176,54049,630,4075,501,1569,251,NA,497411,NA,580,1699,1038,NA,1143,23233,NA,101,NA,10789,957,177,1869,16147,37642,326791,45236,NA,3828,146705,1951015,841,NA,4993,236,828,2285,173449,396971,110904,274,13258,243887,3050,NA,406,NA,1026,1790,267127,383020,990,164348,3231,5123,5328,81442,492,NA,3571,57517,1355,24539,593094,244819,565,1061,170,655691,16458,785,13632,18607742,292,37935,587,5440
"Iceland",NA,NA,NA,NA,NA,NA,NA,218,NA,NA,NA,1320,10611,NA,NA,NA,NA,NA,NA,31096,NA,NA,NA,NA,NA,NA,682,213,NA,NA,NA,NA,NA,9518,NA,NA,NA,3511,3885,774,NA,NA,295,NA,NA,NA,NA,NA,NA,5087,NA,NA,191627,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27535,NA,NA,NA,NA,52354,NA,NA,NA,189404,NA,NA,770,NA,NA,NA,NA,NA,NA,NA,NA,744,NA,1949,701,NA,NA,NA,21157,1906,40418,NA,117222,NA,7684,NA,NA,NA,17143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,728,NA,NA,NA,NA,612,NA,322,NA,NA,NA,NA,99932,NA,NA,279,NA,NA,161,188159,NA,NA,NA,337,NA,NA,NA,NA,188,8213,9428,NA,NA,445,8784,NA,NA,NA,NA,NA,NA,302,453,754,NA,4997,23139,NA,NA,NA,NA,NA,NA,133410,16943,NA,NA,NA,NA,NA,4032,NA,NA,1236,2671,NA,NA,200558,NA,NA,NA,NA,174711,NA,4781,NA,1585180,NA,NA,NA,NA
"India",10636,NA,NA,166,3766,NA,NA,146681,264,14358,NA,1045848,82319,226,1238,454969,45509,NA,719,2185937,NA,12378,15271,498,NA,NA,243108,18019,7436,293,NA,2230,5114,344659,NA,294,NA,53247,697857,340127,NA,NA,13511,3348,517,38988,2393,4478,1688,45398,56035,35310,134033,338,331,NA,4399,NA,156998,358,NA,1310,860,NA,NA,NA,3630,130655,520375,58229,792,NA,672615,3755,794,NA,2202396,9174,105,16269,NA,1287,1169,3504,24167,1127,NA,1708,19406,993,NA,460865,NA,637965,134651,28645,246610,717970,202,2032722,176980,11334,17677,2783,42990,801913,1614899,1816,NA,NA,9161,1906,10822,37139,2533,2267,1898,930805,3332,8996,151,3014,65381,240,335234,17596,148564,71999,NA,414632,NA,2291,77381,121,NA,1059513,49613,NA,26978,NA,78576,9640,3306,444,14336,23836,58227,9164,111780,613,48332,526318,NA,752,2200109,59240,300,141,1221655,10917,18327,2146,514915,147352,29559,NA,1063,NA,7122,1342,236847,1356367,12299,340692,1972,75297,3134,170709,6078,1847,118972,67060,3252,912,1957709,175563,1700808,2223,NA,3127919,5765,7029,26737,33909253,44439,5825,62040,13093
"Indonesia",923,58044,8048,1583,7491,NA,95039,138068,3666,20023,1202,1755128,221319,3036,159,22261,7847,303,1226,299096,440,7867,3466,303,708,NA,295549,8792,7576,226,NA,1342,3034,551864,NA,1917,768,159648,1261391,256853,530,NA,1624,5583,893,26167,1581,113,303,23196,33715,1021,98947,NA,186,NA,1519,NA,6607,NA,184,634,1966,NA,6398,349,2576,216641,46645,20787,114,NA,738109,960,275,338,2216283,2640,2399,29081,148,NA,450,1216,606,492,NA,4375,16136,548,417792,3894,NA,246102,22361,30303,5013,625625,6621,6485553,38337,3240,4360,7373,13924,1966910,248523,192,NA,460,575,1283,6400,26080,480,7588,1242,678074,5262,386,207,127,58768,NA,19435,3142,26769,NA,9591,516134,NA,574,168061,850,506,117664,58945,591,2223,7204,106155,4834,17890,2018,25313,75659,31957,4494,18218,136,19674,191735,138,122,799134,1582,315,187,2447991,8172,3055,717,133119,218869,5290,NA,1998,NA,2724,153,346842,269553,14338,1348058,144,18776,NA,678983,5258,1223,14920,40573,980,1449,785313,53931,59003,1401,10788,3902186,12434,7020,203192,32222348,9690,3231,8371,18946
