"","Afghanistan","Afr.Other NS","Africa N.NES","Albania","Algeria","Angola","Areas NES","Argentina","Armenia","Asia NES","Asia West NS","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium-Lux","Belize","Benin","Bermuda","Bolivia","Bosnia Herzg","Br.Antr.Terr","Brazil","Bulgaria","Burkina Faso","Burundi","CACM NES","Cambodia","Cameroon","Canada","Carib. NES","Cent.Afr.Rep","Chad","Chile","China","China HK SAR","China MC SAR","China SC","Colombia","Congo","Costa Rica","Cote Divoire","Croatia","Cuba","Cyprus","Czech Rep","Czechoslovak","Dem.Rp.Congo","Denmark","Djibouti","Dominican Rp","E Europe NES","Ecuador","EEC NES","Egypt","El Salvador","Eq.Guinea","Estonia","Ethiopia","Eur. EFTA NS","Eur.Other NE","Falkland Is","Fiji","Finland","Fm USSR","Fm Yugoslav","Fr Ind O","Fr.Guiana","France,Monac","Gabon","Gambia","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Guadeloupe","Guatemala","Guinea","GuineaBissau","Guyana","Haiti","Honduras","Hungary","Iceland","India","Indonesia","Int Org","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea D P Rp","Korea Rep.","Kuwait","Kyrgyzstan","LAIA NES","Lao P.Dem.R","Latvia","Lebanon","Liberia","Libya","Lithuania","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Mongolia","Morocco","Mozambique","Myanmar","Nepal","Neth.Ant.Aru","Netherlands","Neutral Zone","New Calednia","New Zealand","Nicaragua","Niger","Nigeria","Norway","Occ.Pal.Terr","Oman","Oth.Oceania","Pakistan","Panama","Papua N.Guin","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Rep Moldova","Romania","Russian Fed","Rwanda","Samoa","Saudi Arabia","Senegal","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Somalia","South Africa","Spain","Sri Lanka","St.Helena","St.Kt-Nev-An","St.Pierre Mq","Sudan","Suriname","Sweden","Switz.Liecht","Syria","Taiwan","Tajikistan","Tanzania","TFYR Macedna","Thailand","Togo","Trinidad Tbg","Tunisia","Turkey","Turkmenistan","Uganda","UK","Ukraine","Untd Arab Em","Uruguay","US NES","USA","Uzbekistan","Venezuela","Viet Nam","World","Yemen","Yugoslavia","Zambia","Zimbabwe"
"Ukraine",NA,NA,NA,NA,70424,NA,NA,27355,NA,NA,NA,3557,230286,NA,NA,NA,NA,NA,NA,200895,NA,NA,NA,NA,NA,NA,96065,437247,NA,NA,NA,NA,NA,46512,NA,NA,NA,20297,500939,14512,NA,NA,14167,NA,NA,NA,NA,NA,NA,341819,NA,NA,89070,NA,NA,NA,14576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93518,NA,NA,NA,NA,377280,NA,NA,NA,1580019,NA,NA,148514,NA,NA,NA,NA,NA,NA,NA,NA,444192,NA,236419,64814,NA,158270,NA,19288,94336,936491,NA,164381,NA,290393,NA,NA,NA,226997,2625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57552,NA,NA,NA,NA,56021,NA,66440,NA,NA,NA,NA,216294,NA,NA,2125,NA,NA,NA,51787,NA,10127,NA,10797,NA,NA,NA,8946,34941,977351,28262,NA,NA,217856,9856323,NA,NA,26937,NA,NA,NA,94051,353574,33968,NA,10441,170430,NA,NA,NA,NA,NA,NA,71162,72233,NA,NA,NA,NA,NA,85567,NA,NA,24144,888890,NA,NA,246146,NA,NA,NA,NA,769242,NA,NA,NA,15558432,NA,NA,NA,NA
"Untd Arab Em",991,NA,NA,NA,13301,NA,NA,28142,NA,NA,NA,693540,95682,NA,NA,130480,8371,NA,NA,426111,NA,NA,NA,NA,NA,NA,167967,7389,NA,NA,NA,NA,NA,129918,NA,NA,NA,41007,1637957,603321,NA,NA,846,NA,NA,NA,5136,NA,8287,66089,NA,NA,118948,592,NA,NA,3430,NA,34244,NA,NA,NA,NA,NA,NA,NA,NA,154993,NA,NA,NA,NA,1151998,NA,NA,NA,1592913,3120,NA,44654,NA,NA,NA,NA,NA,NA,NA,NA,13141,NA,2910235,558941,NA,728841,NA,92699,743,1231838,NA,12654265,33494,23471,10508,NA,NA,3247869,235701,NA,NA,NA,NA,33657,NA,8839,NA,NA,NA,496486,NA,NA,NA,NA,32595,NA,84283,NA,NA,NA,NA,484023,NA,NA,142170,NA,NA,29944,44765,NA,2417913,NA,862007,NA,NA,NA,8875,419264,42199,32954,217199,NA,38903,138487,NA,NA,897004,NA,NA,NA,1643422,7907,10937,21585,347570,308364,60980,NA,NA,NA,3954,NA,178590,310346,17471,1038867,NA,5714,NA,1187892,NA,NA,12047,334954,NA,955,2227126,NA,NA,NA,NA,2616494,NA,3811,NA,44739360,33705,15090,NA,NA
"Uruguay",NA,NA,NA,NA,NA,NA,NA,1062636,NA,NA,NA,9190,11792,NA,NA,NA,NA,NA,NA,28016,NA,NA,NA,NA,NA,NA,1425966,1285,NA,NA,NA,NA,NA,49310,NA,NA,NA,92506,156838,56952,NA,NA,18732,NA,NA,NA,NA,NA,NA,7895,NA,NA,12625,NA,NA,NA,21682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8823,NA,NA,NA,NA,190187,NA,NA,NA,220231,NA,NA,5492,NA,NA,NA,NA,NA,NA,NA,NA,3321,NA,17174,10861,NA,38155,NA,5326,73785,253363,NA,119012,NA,NA,NA,NA,NA,84763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22413,NA,NA,NA,NA,122029,NA,7566,NA,NA,NA,NA,61516,NA,NA,3184,NA,NA,41532,11675,NA,NA,NA,1733,NA,NA,NA,29223,2665,9290,10264,NA,NA,2784,19560,NA,NA,12194,NA,NA,NA,26264,1538,1823,NA,12613,192465,NA,NA,NA,NA,NA,NA,23475,45677,NA,NA,NA,NA,NA,13262,NA,NA,1825,10578,NA,NA,168180,NA,NA,NA,NA,601745,NA,62658,NA,5410081,NA,NA,NA,NA
"US NES",NA,NA,NA,NA,3644,NA,NA,16334,NA,NA,NA,31692,627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4805,NA,NA,NA,NA,NA,NA,7807,NA,NA,NA,NA,2868,53802,NA,NA,2946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25348,NA,NA,NA,46009,NA,NA,11450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23992,NA,NA,NA,1824,NA,34544,NA,455097,NA,NA,NA,NA,NA,147734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1410,NA,NA,NA,NA,14601,NA,NA,NA,NA,NA,NA,2910,NA,NA,21885,NA,NA,27432,NA,NA,NA,NA,639,NA,NA,NA,NA,29376,7955,NA,NA,NA,NA,1544,NA,NA,544,NA,NA,NA,204256,NA,NA,NA,1051,2176,NA,NA,NA,NA,NA,NA,4281,14124,NA,NA,NA,NA,NA,34653,NA,NA,NA,8339,NA,NA,17065,NA,NA,NA,NA,96648,NA,NA,NA,1291586,NA,NA,NA,NA
"USA",14595,NA,NA,26724,3104048,2791133,NA,6535858,54785,378959,NA,16747159,4999081,65731,991452,549129,1713392,224425,110569,16795001,170536,43067,303242,466429,49435,NA,20486469,319625,15047,13169,NA,267763,147025,267869985,NA,4059,9158,5519112,71038249,23733205,973598,NA,8389608,485456,4073931,420431,204322,4635,204226,1521549,436777,290749,4169885,11683,6493633,NA,3011621,NA,3659713,2076580,87143,220525,196732,NA,NA,2003,168999,4258215,4389586,1072648,7799,268953,42692316,1580201,9702,95658,73018530,376760,14903,1476848,12977,90090,3208780,197045,20148,240773,599545,3217135,1691595,425879,9914186,11856064,NA,318009,2496165,11693355,11871312,28247420,2243434,187127675,331971,305162,243060,33569,3332,48969968,2620307,23552,NA,13706,258696,467771,56005,NA,113094,94693,84852,26708731,24407,332624,30042,248379,144748861,53397,858463,78999,159746,145908,1874427,20773102,NA,160749,3828673,536997,23005,6703334,5606969,NA,593136,NA,2345637,1616398,149791,681063,3051528,13810817,1979072,2104639,421125,73108,644772,7596345,28832,18282,15967085,66890,27506,50463,33967794,403307,521559,13137,5800534,11760126,1590340,4903,478574,4586,57430,239263,10816927,13117804,255109,50600391,39782,70126,152452,18622678,26372,1885333,403359,5285389,81536,42147,63801572,769242,2616494,601745,96648,570,203153,16582010,650779,1435245061,303279,116829,81228,206680
"Uzbekistan",NA,NA,NA,NA,NA,NA,NA,861,NA,NA,NA,NA,28403,NA,NA,NA,NA,NA,NA,50653,NA,NA,NA,NA,NA,NA,67826,12842,NA,NA,NA,NA,NA,18302,NA,NA,NA,NA,99809,8397,NA,NA,NA,NA,NA,NA,NA,NA,NA,52003,NA,NA,9750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12703,NA,NA,NA,NA,148461,NA,NA,NA,415350,NA,NA,10756,NA,NA,NA,NA,NA,NA,NA,NA,43648,NA,13858,12827,NA,94070,NA,4590,10666,197171,NA,97525,NA,243501,NA,NA,NA,428944,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4241,NA,NA,NA,NA,7498,NA,NA,NA,NA,NA,NA,27797,NA,NA,1301,NA,NA,NA,3014,NA,1314,NA,34872,NA,NA,NA,NA,1127,106540,15502,NA,NA,18349,1341203,NA,NA,NA,NA,NA,NA,3272,17497,8067,NA,NA,25863,NA,NA,NA,NA,NA,NA,8364,20722,NA,NA,NA,NA,NA,17734,NA,NA,8430,196652,NA,NA,58499,NA,NA,NA,NA,203153,NA,NA,NA,3417282,NA,NA,NA,NA
"Venezuela",NA,NA,NA,NA,6810,NA,543975,298168,NA,NA,NA,10068,22545,NA,23764,NA,NA,12714,NA,271935,2020,NA,1513,16487,NA,NA,1306036,5937,73091,NA,NA,NA,1027,874794,NA,NA,NA,328686,78472,106338,NA,NA,1683674,NA,121772,9742,2086,48228,NA,2849,7416,NA,60940,NA,248227,NA,209805,NA,9799,59463,NA,2799,NA,NA,NA,NA,NA,38322,31710,3045,NA,1137,421683,NA,NA,NA,1109032,NA,NA,6677,NA,13106,119441,NA,NA,9183,9197,15829,1591,5026,22184,23074,NA,4835,NA,18524,21018,773796,59791,929970,NA,998,NA,NA,6680,181213,NA,NA,NA,NA,NA,4032,4461,6191,1198,NA,NA,15392,NA,NA,NA,NA,648187,NA,5300,NA,NA,NA,1304840,354190,NA,NA,56195,64604,NA,15907,43221,NA,NA,NA,4893,261345,NA,30297,442098,4691,15162,40898,2893,NA,30315,55224,NA,NA,4510,NA,NA,NA,70598,736,1345,NA,28973,482745,336,NA,101668,NA,NA,29110,175406,92569,865,148185,NA,NA,NA,17487,1305,244002,3080,17936,NA,NA,494499,NA,3811,62658,NA,16582010,NA,NA,NA,32031748,NA,5414,NA,NA
"Viet Nam",NA,NA,NA,NA,21787,NA,NA,21048,NA,NA,NA,521516,55662,NA,NA,NA,NA,NA,NA,206872,NA,NA,NA,NA,NA,NA,36548,15638,NA,NA,NA,NA,NA,92709,NA,NA,NA,10723,973020,256112,NA,NA,NA,NA,NA,NA,NA,NA,NA,33964,NA,NA,57183,NA,NA,NA,801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27032,NA,NA,NA,NA,685021,NA,NA,NA,803931,NA,NA,11379,NA,NA,NA,NA,NA,NA,NA,NA,24833,NA,108832,487307,NA,24718,NA,18561,16560,238916,NA,2636763,NA,4713,NA,NA,NA,1282936,7092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412133,NA,NA,NA,NA,19691,NA,4245,NA,NA,NA,NA,170765,NA,NA,45583,NA,NA,2258,25805,NA,1433,NA,12611,NA,NA,NA,13909,212184,68009,8358,7840,NA,10650,220488,NA,NA,568632,NA,NA,NA,1822709,7405,2603,NA,13210,139730,NA,NA,NA,NA,NA,NA,68147,71558,NA,NA,NA,NA,NA,540133,NA,NA,4107,21932,NA,NA,318867,NA,NA,NA,NA,650779,NA,NA,NA,13781654,NA,NA,NA,NA
"World",448267,667183,16309,878559,22520525,6032777,111885423,42576728,349651,5092977,1365505,115191998,110174534,1076124,3062996,4159515,8068683,487403,7149760,283713457,415946,845522,1578882,2359778,1277397,NA,94598800,7751600,401508,183069,13299,1469290,2974556,364793223,NA,235528,191881,28378893,369554895,225788813,3191304,NA,21787069,2061235,6893019,5347203,8576722,3015227,4657360,45709195,21114807,2287234,83433527,281701,9114063,96837,8419476,6835787,19194860,3194838,427870,4242690,1375954,NA,45471,85308,1148214,62835462,78847805,23882545,1100627,1231979,524122248,3441294,329516,654044,909319974,3079184,920666,35706163,734288,1683431,5364642,1175913,329240,673609,805765,4271617,35067125,3483021,66660049,84249363,NA,37386071,4356971,80086093,45993035,403754273,4251008,728973072,3365049,8125388,3063984,431070,1967455,230568835,27193766,552477,569184,609389,4040404,4595237,5228017,13916594,4848370,1030507,751494,139563168,599759,4557796,956350,2760205,188145334,568382,15406715,1077101,2986526,893685,5054023,324055445,70748,1998226,25277145,1029027,465425,20820729,74099055,65416,13070758,225806,17990907,15004126,3292055,3812771,11235440,51529024,53873441,53508044,8241829,1154803,16354028,121446745,186518,136715,106635732,1582967,280970,340016,191247571,16888169,16009428,185850,53687415,203043757,7025807,24661,2585388,56330,1346970,780556,130062662,159616493,6210474,213894949,409883,1477367,2494702,106201541,685452,3248757,12457684,58104924,944345,700118,507394097,15558432,44739360,5410081,1291586,1435245061,3417282,32031748,13781654,9948585104,3533240,3049166,1631932,3032491
"Yemen",NA,NA,NA,NA,NA,NA,NA,13215,NA,NA,NA,38146,31950,NA,NA,NA,NA,NA,NA,41844,NA,NA,NA,NA,NA,NA,164467,1646,NA,NA,NA,NA,NA,23213,NA,NA,NA,NA,488073,5676,NA,NA,NA,NA,NA,NA,NA,NA,NA,5933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203439,NA,NA,NA,169500,NA,NA,12661,NA,NA,NA,NA,NA,NA,NA,NA,5265,NA,100226,58161,NA,NA,NA,8010,NA,130602,NA,280841,NA,NA,NA,NA,NA,355850,2579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79912,NA,NA,NA,NA,NA,NA,1316,NA,NA,NA,NA,51053,NA,NA,19832,NA,NA,NA,4875,NA,125662,NA,33695,NA,NA,NA,NA,1124,9273,2249,5841,NA,NA,9763,NA,NA,82291,NA,NA,NA,132847,NA,NA,NA,55449,18296,NA,NA,NA,NA,NA,NA,19009,13691,NA,NA,NA,NA,NA,409328,NA,NA,737,73674,NA,NA,123269,NA,33705,NA,NA,303279,NA,NA,NA,3533240,NA,NA,NA,NA
"Yugoslavia",NA,NA,NA,NA,26025,NA,NA,14885,NA,NA,NA,7740,62316,NA,NA,NA,NA,NA,NA,39471,NA,NA,NA,NA,NA,NA,41888,167500,NA,NA,NA,NA,NA,33724,NA,NA,NA,10038,52013,6093,NA,NA,10269,NA,NA,NA,NA,NA,NA,29311,249862,NA,18441,NA,NA,NA,21384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6921,NA,NA,NA,NA,148479,NA,NA,NA,471319,NA,NA,139733,NA,NA,NA,NA,NA,NA,NA,NA,65620,NA,15492,15854,NA,37263,NA,21968,12173,387459,NA,41197,NA,3232,NA,NA,NA,18924,782,NA,NA,NA,NA,NA,NA,57120,NA,NA,NA,10826,NA,NA,NA,NA,5077,NA,29168,NA,NA,NA,NA,69102,NA,NA,942,NA,NA,3704,15319,NA,1396,NA,2774,NA,NA,NA,16566,1745,48335,5763,NA,NA,100531,384514,NA,NA,15540,NA,NA,NA,17447,20409,142048,NA,10459,35852,NA,NA,NA,NA,NA,NA,40938,48002,NA,10853,NA,NA,NA,8100,NA,NA,7928,71720,NA,NA,89095,NA,15090,NA,NA,116829,NA,5414,NA,3049166,NA,NA,NA,NA
"Zambia",NA,NA,NA,NA,NA,NA,NA,4904,NA,NA,NA,1577,3738,NA,NA,NA,NA,NA,NA,63137,NA,NA,NA,NA,NA,NA,1863,NA,NA,NA,NA,NA,NA,18310,NA,NA,NA,NA,27256,6541,NA,NA,NA,NA,NA,NA,NA,NA,NA,488,NA,NA,5226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23371,NA,NA,NA,NA,83013,NA,NA,NA,47425,NA,NA,1573,NA,NA,NA,NA,NA,NA,NA,NA,776,NA,85556,9200,NA,NA,NA,4632,NA,31747,NA,218395,NA,NA,NA,NA,NA,8842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50786,NA,NA,NA,NA,1371,NA,NA,NA,NA,NA,NA,20224,NA,NA,706,NA,NA,NA,2149,NA,24821,NA,15655,NA,NA,NA,NA,NA,1509,6448,NA,NA,NA,NA,NA,NA,91813,NA,NA,NA,43111,NA,754,NA,427832,4728,NA,NA,NA,NA,NA,NA,8761,7162,NA,NA,NA,NA,NA,114460,NA,NA,310,2806,NA,NA,95796,NA,NA,NA,NA,81228,NA,NA,NA,1631932,NA,NA,NA,NA
"Zimbabwe",NA,NA,NA,NA,NA,NA,NA,10973,NA,NA,NA,16694,17057,NA,NA,NA,NA,NA,NA,49247,NA,NA,NA,NA,NA,NA,13903,NA,NA,NA,NA,NA,NA,16545,NA,NA,NA,1133,83890,9110,NA,NA,420,NA,NA,NA,NA,NA,NA,12382,NA,NA,21789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18666,NA,NA,NA,NA,75594,NA,NA,NA,244989,NA,NA,13277,NA,NA,NA,NA,NA,NA,NA,NA,6007,NA,24717,21276,NA,2355,NA,11509,23605,133651,NA,244149,NA,NA,NA,NA,NA,32831,3578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10585,NA,NA,NA,NA,2735,NA,3297,NA,NA,NA,NA,111819,NA,NA,3896,NA,NA,NA,10803,NA,NA,NA,5324,NA,NA,NA,NA,18146,25006,35802,3764,NA,1889,31985,NA,NA,2428,NA,NA,NA,19644,650,2244,NA,1089964,52927,NA,NA,NA,NA,NA,NA,24737,41034,NA,NA,NA,NA,NA,19820,NA,NA,NA,11634,NA,NA,317080,NA,NA,NA,NA,206680,NA,NA,NA,3032491,NA,NA,NA,NA
